code,name,sector,entry_date,exit_date,entry_price,exit_price,stop_line,hold_days,ret_pct,exit_reason,shares,cost,proceeds,pnl,r0_triggered,r2_triggered,r2_date,skipped,skip_reason
600737,中粮糖业,消费,2023-03-29,2023-05-26,6.435,6.653,6.138,38,3.39,R2+R3,0,0.0,0.0,0.0,True,True,2023-03-31,True,满仓位
601600,中国铝业,有色,2023-03-31,2023-05-15,5.195,5.509,4.847,27,6.05,R2+R3,0,0.0,0.0,0.0,True,True,2023-04-10,True,满仓位
601818,光大银行,银行,2023-04-13,2023-05-25,2.543,2.588,2.478,27,1.75,R2+R0+R1,0,0.0,0.0,0.0,True,True,2023-04-18,True,满仓位
601872,招商轮船,航运港口,2023-04-13,2023-04-24,6.139,6.006,5.644,7,-2.16,R1,0,0.0,0.0,0.0,False,False,,True,满仓位
601006,大秦铁路,交运设备,2023-05-29,2023-06-19,6.313,6.026,6.026,15,-4.55,R1,0,0.0,0.0,0.0,False,False,,True,大盘过滤(上证弱)
600938,中国海油,石油,2023-06-08,2023-11-07,15.577,16.854,14.807,100,8.19,R2+R3,0,0.0,0.0,0.0,True,True,2023-07-13,True,大盘过滤(上证弱)
601186,中国铁建,建筑,2023-06-08,2023-06-14,9.449,8.989,8.697,4,-4.87,R1,0,0.0,0.0,0.0,False,False,,True,大盘过滤(上证弱)
601818,光大银行,银行,2023-06-08,2023-06-12,2.733,2.61,2.61,2,-4.52,R1,0,0.0,0.0,0.0,False,False,,True,大盘过滤(上证弱)
001872,招商港口,航运港口,2023-06-28,2023-07-12,15.786,15.09,14.726,10,-4.41,R1,0,0.0,0.0,0.0,False,False,,True,大盘过滤(上证弱)
601006,大秦铁路,交运设备,2023-07-07,2023-10-20,6.159,6.249,5.945,69,1.47,R2+R3,0,0.0,0.0,0.0,False,True,2023-07-18,True,大盘过滤(上证弱)
600737,中粮糖业,消费,2023-07-10,2023-08-16,6.823,6.999,6.55,27,2.57,R2+R3,0,0.0,0.0,0.0,False,True,2023-07-31,True,大盘过滤(上证弱)
601600,中国铝业,有色,2023-07-20,2023-08-23,5.515,5.645,5.164,24,2.35,R2+R0+R1,0,0.0,0.0,0.0,True,True,2023-07-25,True,大盘过滤(上证弱)
601398,工商银行,银行,2023-07-25,2023-09-04,4.044,4.042,3.948,29,-0.04,R2+R3,0,0.0,0.0,0.0,False,True,2023-07-26,True,大盘过滤(上证弱)
600011,华能国际,电力,2023-08-14,2023-08-18,8.122,8.178,7.597,4,0.68,R2+R3,0,0.0,0.0,0.0,False,True,2023-08-15,True,大盘过滤(上证弱)
601880,辽港股份,航运港口,2023-08-18,2023-08-24,1.542,1.491,1.491,4,-3.27,R1,0,0.0,0.0,0.0,False,False,,True,大盘过滤(上证弱)
601939,建设银行,银行,2023-09-07,2023-12-07,5.258,5.444,5.108,59,3.54,R2+R3,0,0.0,0.0,0.0,True,True,2023-09-20,True,大盘过滤(上证弱)
601818,光大银行,银行,2023-09-11,2023-10-24,2.683,2.612,2.612,25,-2.62,R1,0,0.0,0.0,0.0,False,False,,True,大盘过滤(上证弱)
601398,工商银行,银行,2023-09-13,2023-12-07,4.044,4.198,3.956,55,3.81,R2+R3,0,0.0,0.0,0.0,False,True,2023-10-12,True,大盘过滤(上证弱)
601998,中信银行,银行,2023-09-14,2023-10-11,4.948,4.891,4.776,13,-1.16,R2+R3,0,0.0,0.0,0.0,False,True,2023-09-15,True,大盘过滤(上证弱)
600737,中粮糖业,消费,2023-10-09,2023-10-10,7.281,7.035,7.035,1,-3.37,R1,0,0.0,0.0,0.0,False,False,,True,大盘过滤(上证弱)
601872,招商轮船,航运港口,2023-10-25,2023-11-14,5.859,5.613,5.453,14,-4.2,R1,0,0.0,0.0,0.0,False,False,,True,大盘过滤(上证弱)
601898,中煤能源,煤炭,2023-11-21,2024-03-22,7.949,9.033,7.651,81,13.65,R2+R3,0,0.0,0.0,0.0,True,True,2023-11-24,True,大盘过滤(上证弱)
600938,中国海油,石油,2023-12-20,2024-06-24,17.823,22.463,17.171,120,26.04,R2+R3,0,0.0,0.0,0.0,True,True,2023-12-26,True,大盘过滤(上证弱)
600011,华能国际,电力,2024-06-04,2024-06-18,8.22,8.226,7.734,9,0.07,R2+R3,0,0.0,0.0,0.0,False,True,2024-06-14,True,满仓位
600011,华能国际,电力,2024-06-24,2024-07-12,8.265,8.335,7.817,14,0.84,R2+R3,0,0.0,0.0,0.0,False,True,2024-06-28,True,大盘过滤(上证弱)
601998,中信银行,银行,2024-07-02,2024-07-05,6.049,5.746,5.746,3,-5.0,R1,0,0.0,0.0,0.0,False,False,,True,大盘过滤(上证弱)
601872,招商轮船,航运港口,2024-07-05,2024-07-10,8.018,7.395,7.395,3,-7.77,R1,0,0.0,0.0,0.0,False,False,,True,大盘过滤(上证弱)
601818,光大银行,银行,2024-08-15,2024-08-30,2.947,2.925,2.852,11,-0.75,R2+R3,0,0.0,0.0,0.0,False,True,2024-08-16,True,大盘过滤(上证弱)
601872,招商轮船,航运港口,2024-08-16,2024-08-30,7.577,7.474,7.024,10,-1.36,R2+R3,0,0.0,0.0,0.0,False,True,2024-08-19,True,大盘过滤(上证弱)
601398,工商银行,银行,2024-09-24,2025-03-27,5.528,5.969,5.262,120,7.97,R2+R3,0,0.0,0.0,0.0,True,True,2024-10-08,True,大盘过滤(上证弱)
601939,建设银行,银行,2024-09-24,2025-03-27,7.04,7.644,6.687,120,8.58,R2+R3,0,0.0,0.0,0.0,True,True,2024-10-08,True,大盘过滤(上证弱)
601186,中国铁建,建筑,2025-09-17,2025-09-22,8.06,7.888,7.888,3,-2.14,R1,0,0.0,0.0,0.0,False,False,,True,满仓位
601880,辽港股份,航运港口,2026-02-11,2026-03-30,1.626,1.655,1.552,27,1.81,R2+R3,0,0.0,0.0,0.0,False,True,2026-02-25,True,满仓位
001872,招商港口,航运港口,2026-04-23,2026-06-05,21.285,21.757,20.27,28,2.22,R2+R3,0,0.0,0.0,0.0,False,True,2026-05-13,True,满仓位
