code,name,sector,entry_date,exit_date,entry_price,exit_price,stop_line,hold_days,ret_pct,exit_reason,shares,cost,proceeds,pnl,r0_triggered,r2_triggered,r2_date,skipped,skip_reason
600938,中国海油,石油,2023-02-20,2023-05-26,13.566,14.539,13.167,65,7.18,R2+R3,3600,48837.6,52344.14,3506.54,True,True,2023-03-02,False,
600011,华能国际,电力,2023-02-23,2023-06-13,7.023,7.632,6.497,74,8.68,R2+R3,7100,49863.3,54191.43,4328.13,True,True,2023-03-03,False,
601998,中信银行,银行,2023-03-01,2023-06-14,4.081,4.511,3.99,71,10.52,R2+R3,12200,49788.2,55025.92,5237.72,True,True,2023-03-02,False,
600505,西昌电力,电力,2023-06-16,2023-07-21,8.575,9.082,7.926,23,5.91,R2+R3,5800,49735.0,52674.34,2939.34,True,True,2023-06-28,False,
601988,中国银行,银行,2023-02-10,2023-08-07,2.662,2.952,2.624,120,10.91,R2+R3,18700,49779.4,55210.33,5430.93,True,True,2023-02-20,False,
601939,建设银行,银行,2023-07-03,2023-08-14,5.173,5.256,4.986,30,1.61,R2+R3,9600,49660.8,50460.34,799.54,False,True,2023-07-31,False,
601186,中国铁建,建筑,2023-07-03,2023-08-21,9.214,9.514,8.601,35,3.25,R2+R3,5400,49755.6,51372.66,1617.06,False,True,2023-07-31,False,
601898,中煤能源,煤炭,2024-04-10,2024-04-24,10.638,10.891,9.914,10,2.38,R2+R3,4700,49998.6,51188.57,1189.97,False,True,2024-04-15,False,
601186,中国铁建,建筑,2024-04-26,2024-06-12,7.988,8.072,7.644,29,1.04,R2+R3,6200,49525.6,50040.67,515.07,False,True,2024-05-13,False,
601818,光大银行,银行,2024-05-16,2024-06-12,2.797,2.804,2.728,18,0.25,R2+R3,17800,49786.6,49911.07,124.47,False,True,2024-05-17,False,
601939,建设银行,银行,2024-04-08,2024-09-03,6.118,6.407,5.93,102,4.73,R2+R3,8100,49555.8,51899.79,2343.99,True,True,2024-04-15,False,
601398,工商银行,银行,2024-05-16,2024-09-04,4.736,5.061,4.617,78,6.88,R2+R3,10500,49728.0,53149.29,3421.29,True,True,2024-06-26,False,
600737,中粮糖业,消费,2024-11-29,2025-01-06,9.485,9.768,8.986,25,2.99,R2+R3,5200,49322.0,50796.73,1474.73,False,True,2024-12-11,False,
001872,招商港口,航运港口,2024-12-03,2024-12-13,19.287,18.497,18.186,8,-4.09,R1,2500,48217.5,46245.4,-1972.1,False,False,,False,
601101,昊华能源,煤炭,2024-12-03,2024-12-16,8.169,8.219,7.737,9,0.61,R2+R3,6100,49830.9,50134.87,303.97,False,True,2024-12-04,False,
000027,深圳能源,电力,2024-12-06,2024-12-19,6.416,6.18,6.18,9,-3.68,R1,7700,49403.2,47585.16,-1818.04,False,False,,False,
001872,招商港口,航运港口,2025-01-23,2025-02-07,18.878,19.218,18.143,5,1.8,R2+R3,2600,49082.8,49966.29,883.49,False,True,2025-01-27,False,
601600,中国铝业,有色,2025-01-24,2025-02-18,7.628,7.401,7.212,11,-2.97,R2+R3,6500,49582.0,48109.41,-1472.59,False,True,2025-01-27,False,
601818,光大银行,银行,2025-01-20,2025-04-08,3.485,3.604,3.323,49,3.43,R2+R3,14300,49835.5,51544.86,1709.36,False,True,2025-01-23,False,
600737,中粮糖业,消费,2025-04-03,2025-04-07,9.446,9.165,9.165,1,-2.98,R1,5200,49119.2,47655.45,-1463.75,False,False,,False,
601006,大秦铁路,交运设备,2025-06-23,2025-08-04,6.273,6.323,6.126,30,0.8,R2+R3,7900,49556.7,49953.15,396.45,False,True,2025-07-23,False,
601988,中国银行,银行,2025-07-04,2025-07-25,5.476,5.457,5.289,15,-0.35,R2+R3,9100,49831.6,49657.19,-174.41,False,True,2025-07-09,False,
601998,中信银行,银行,2025-04-28,2025-08-18,6.868,7.224,6.56,76,5.19,R2+R3,7200,49449.6,52016.03,2566.43,True,True,2025-05-09,False,
001872,招商港口,航运港口,2025-06-09,2025-09-25,19.147,19.199,18.583,78,0.27,R2+R3,2600,49782.2,49916.61,134.41,False,True,2025-06-12,False,
601398,工商银行,银行,2025-09-11,2025-09-18,7.21,6.999,6.942,5,-2.93,R1,6900,49749.0,48291.35,-1457.65,False,False,,False,
600737,中粮糖业,消费,2025-08-05,2025-10-28,9.648,11.625,9.328,54,20.48,R2+R3,5100,49204.8,59281.94,10077.14,True,True,2025-08-08,False,
601898,中煤能源,煤炭,2025-10-09,2025-12-12,11.55,12.213,10.911,46,5.73,R2+R3,4300,49665.0,52510.8,2845.8,True,True,2025-10-10,False,
601998,中信银行,银行,2025-11-20,2025-12-08,7.762,7.614,7.429,12,-1.91,R2+R3,6400,49676.8,48727.97,-948.83,False,True,2025-11-21,False,
601939,建设银行,银行,2025-12-29,2026-01-12,9.085,8.795,8.795,8,-3.19,R1,5500,49967.5,48373.54,-1593.96,False,False,,False,
600737,中粮糖业,消费,2026-01-09,2026-02-05,17.24,16.38,16.216,19,-4.99,R1,2900,49996.0,47501.2,-2494.8,False,False,,False,
600938,中国海油,石油,2025-09-11,2026-03-18,25.122,30.924,24.365,120,23.09,R2+R3,1900,47731.8,58753.07,11021.27,True,True,2025-09-16,False,
600505,西昌电力,电力,2026-01-30,2026-03-17,14.073,14.384,13.238,26,2.21,R2+R0+R1,3500,49255.5,50344.05,1088.55,True,True,2026-02-24,False,
600150,中国船舶,交运设备,2026-02-10,2026-03-16,34.413,35.16,32.487,18,2.17,R2+R0+R1,1400,48178.2,49223.67,1045.47,True,True,2026-02-12,False,
601872,招商轮船,航运港口,2025-12-15,2026-05-28,8.486,12.007,7.704,106,41.48,R2+R3,5800,49218.8,69634.76,20415.96,True,True,2026-01-08,False,
002738,中矿资源,有色,2026-04-10,2026-05-14,77.17,80.242,69.131,21,3.98,R2+R0+R1,600,46302.0,48144.82,1842.82,True,True,2026-04-13,False,
601939,建设银行,银行,2026-04-13,2026-06-26,9.134,9.556,8.791,50,4.61,R2+R3,5400,49323.6,51597.42,2273.82,True,True,2026-04-20,False,
000027,深圳能源,电力,2026-04-23,2026-06-11,6.909,7.325,6.553,32,6.03,R2+R3,7200,49744.8,52744.41,2999.61,True,True,2026-05-19,False,
