rank,code,name,sector,trades,wins,pnl_sum,ret_mean,ret_sum,hold_mean,win_rate
1,601872,招商轮船,航运港口,2,1,19341.879999999997,19.659999999999997,39.31999999999999,56.5,50.0
2,600938,中国海油,石油,2,2,14527.810000000001,15.135,30.27,92.5,100.0
3,600737,中粮糖业,消费,5,3,9273.05,3.778,18.89,27.4,60.0
4,601998,中信银行,银行,3,2,6855.32,4.6000000000000005,13.8,53.0,66.7
5,601988,中国银行,银行,2,1,5256.52,5.28,10.56,67.5,50.0
6,600011,华能国际,电力,2,2,4362.650000000001,4.375,8.75,41.5,100.0
7,601898,中煤能源,煤炭,2,2,4035.7700000000004,4.055,8.11,28.0,100.0
8,600505,西昌电力,电力,2,2,4027.8900000000003,4.0600000000000005,8.120000000000001,24.5,100.0
9,601939,建设银行,银行,4,3,3823.39,1.9400000000000004,7.760000000000002,47.5,75.0
10,601818,光大银行,银行,3,3,2706.08,1.8099999999999998,5.43,31.333333333333332,100.0
11,601398,工商银行,银行,2,1,1963.6399999999999,1.9749999999999999,3.9499999999999997,41.5,50.0
12,002738,中矿资源,有色,1,1,1842.82,3.98,3.98,21.0,100.0
13,601600,中国铝业,有色,2,1,1544.6700000000003,1.5399999999999998,3.0799999999999996,19.0,50.0
14,000027,深圳能源,电力,2,1,1181.5700000000002,1.175,2.35,20.5,50.0
15,601186,中国铁建,建筑,3,2,1062.73,0.7166666666666667,2.15,22.333333333333332,66.7
16,600150,中国船舶,交运设备,1,1,1045.47,2.17,2.17,18.0,100.0
17,601880,辽港股份,航运港口,1,1,903.52,1.81,1.81,27.0,100.0
18,601006,大秦铁路,交运设备,1,1,396.45,0.8,0.8,30.0,100.0
19,601101,昊华能源,煤炭,1,1,303.97,0.61,0.61,9.0,100.0
20,001872,招商港口,航运港口,4,3,132.61,0.050000000000000044,0.20000000000000018,29.75,75.0
