day,interest,bonus,gift,allot,allot_px,dr,ratio_used,in_sample
20020723,0.15,0.0,0.0,0.0,0.0,1.010452,True,False
20030929,0.15,0.0,0.0,0.0,0.0,1.016322,True,False
20070620,0.009,0.1,0.0,0.0,0.0,1.100498,True,False
20081031,0.0335,0.3,0.0,0.0,0.0,1.304498,True,False
20121019,0.1,0.0,0.0,0.0,0.0,1.007457,True,False
20130620,0.17,0.6,0.0,0.0,0.0,1.614093,True,False
20140612,0.16,0.0,0.2,0.0,0.0,1.216942,True,False
20150413,0.174,0.0,0.2,0.0,0.0,1.210268,True,False
20160616,0.153,0.0,0.2,0.0,0.0,1.218203,True,True
20170721,0.158,0.0,0.0,0.0,0.0,1.014801,True,True
20180712,0.136,0.0,0.0,0.0,0.0,1.016203,True,True
20190626,0.145,0.0,0.0,0.0,0.0,1.010534,True,True
20200528,0.218,0.0,0.0,0.0,0.0,1.017214,True,True
20210514,0.18,0.0,0.0,0.0,0.0,1.007863,True,True
20220722,0.228,0.0,0.0,0.0,0.0,1.017996,True,True
20230614,0.285,0.0,0.0,0.0,0.0,1.024369,True,True
20240614,0.719,0.0,0.0,0.0,0.0,1.071428,True,True
20241010,0.246,0.0,0.0,0.0,0.0,1.021872,True,True
20250612,0.362,0.0,0.0,0.0,0.0,1.031331,True,True
20251015,0.236,0.0,0.0,0.0,0.0,1.021182,True,True
20260612,0.36,0.0,0.0,0.0,0.0,1.0329059999999999,True,True
