代码,名称,品种类型,行业,多空,操作时间,操作类型,操作价格,当前价格,盈利,买入权重(%),当前权重(%),数量,交易费用,市值,业务类型
601398,工商银行,股票,银行,-,2022-04-14 15:00:00,买入,3.25,3.25,0.00,0.00%,0.00%,13400,0.00,43529.90,买入
601398,工商银行,股票,银行,-,2022-05-25 15:00:00,卖出,3.14,3.14,-1474.00,0.00%,0.00%,13400,0.00,42055.90,卖出
601398,工商银行,股票,银行,-,2022-07-05 15:00:00,买入,3.28,3.28,0.00,0.00%,0.00%,13500,0.00,44259.75,买入
601398,工商银行,股票,银行,-,2022-07-20 15:00:00,卖出,3.21,3.21,-900.45,0.00%,0.00%,13500,0.00,43359.30,卖出
601398,工商银行,股票,银行,-,2023-03-28 15:00:00,买入,3.26,3.26,0.00,0.00%,0.00%,13600,0.00,44360.48,买入
601398,工商银行,股票,银行,-,2023-04-17 15:00:00,买入,3.50,3.50,0.00,0.00%,0.00%,13100,0.00,45873.58,买入
601398,工商银行,股票,银行,-,2023-04-24 15:00:00,卖出,3.49,3.49,1470.44,0.00%,0.00%,13100,0.00,45742.58,卖出
601398,工商银行,股票,银行,-,2023-05-04 15:00:00,买入,3.72,3.72,0.00,0.00%,0.00%,12900,0.00,48011.22,买入
601398,工商银行,股票,银行,-,2023-05-11 15:00:00,卖出,3.77,3.77,5979.56,0.00%,0.00%,26500,0.00,99952.70,卖出
601398,工商银行,股票,银行,-,2023-07-20 15:00:00,买入,3.66,3.66,0.00,0.00%,0.00%,12400,0.00,45325.72,买入
601398,工商银行,股票,银行,-,2023-08-03 15:00:00,卖出,3.80,3.80,1736.00,0.00%,0.00%,12400,0.00,47061.72,卖出
601398,工商银行,股票,银行,-,2023-08-08 15:00:00,买入,3.76,3.76,0.00,0.00%,0.00%,12100,0.00,45439.13,买入
601398,工商银行,股票,银行,-,2023-10-09 15:00:00,卖出,3.75,3.75,-121.00,0.00%,0.00%,12100,0.00,45318.13,卖出
601398,工商银行,股票,银行,-,2023-10-11 15:00:00,买入,3.80,3.80,0.00,0.00%,0.00%,12100,0.00,45923.13,买入
601398,工商银行,股票,银行,-,2023-10-20 15:00:00,卖出,3.87,3.87,847.00,0.00%,0.00%,12100,0.00,46770.13,卖出
601398,工商银行,股票,银行,-,2023-10-24 15:00:00,买入,3.84,3.84,0.00,0.00%,0.00%,11800,0.00,45256.54,买入
601398,工商银行,股票,银行,-,2023-12-07 15:00:00,卖出,3.81,3.81,-354.00,0.00%,0.00%,11800,0.00,44902.54,卖出
601398,工商银行,股票,银行,-,2023-12-15 15:00:00,买入,3.81,3.81,0.00,0.00%,0.00%,11900,0.00,45283.07,买入
601398,工商银行,股票,银行,-,2024-01-11 15:00:00,卖出,3.86,3.86,595.00,0.00%,0.00%,11900,0.00,45878.07,卖出
601398,工商银行,股票,银行,-,2024-01-16 15:00:00,买入,3.97,3.97,0.00,0.00%,0.00%,11800,0.00,46790.54,买入
601398,工商银行,股票,银行,-,2024-02-19 15:00:00,卖出,4.35,4.35,4484.00,0.00%,0.00%,11800,0.00,51274.54,卖出
601398,工商银行,股票,银行,-,2024-05-28 15:00:00,买入,4.57,4.57,0.00,0.00%,0.00%,10400,0.00,47479.12,买入
601398,工商银行,股票,银行,-,2024-08-01 15:00:00,卖出,5.26,5.26,7242.56,0.00%,0.00%,10400,0.00,54721.68,卖出
601398,工商银行,股票,银行,-,2024-11-26 15:00:00,买入,5.54,5.54,0.00,0.00%,0.00%,8900,0.00,49321.13,买入
601398,工商银行,股票,银行,-,2025-01-06 15:00:00,卖出,6.13,6.13,5251.00,0.00%,0.00%,8900,0.00,54572.13,卖出
601398,工商银行,股票,银行,-,2025-04-14 15:00:00,买入,6.40,6.40,0.00,0.00%,0.00%,7800,0.00,49881.78,买入
601398,工商银行,股票,银行,-,2025-05-06 15:00:00,卖出,6.51,6.51,858.00,0.00%,0.00%,7800,0.00,50739.78,卖出
601398,工商银行,股票,银行,-,2025-05-30 15:00:00,买入,6.60,6.60,0.00,0.00%,0.00%,7500,0.00,49463.25,买入
601398,工商银行,股票,银行,-,2025-07-14 15:00:00,卖出,7.53,7.53,7009.50,0.00%,0.00%,7500,0.00,56472.75,卖出
601398,工商银行,股票,银行,-,2025-09-09 15:00:00,买入,7.12,7.12,0.00,0.00%,0.00%,7000,0.00,49837.90,买入
601398,工商银行,股票,银行,-,2025-11-18 15:00:00,买入,7.89,7.89,0.00,0.00%,0.00%,6300,0.00,49705.11,买入
601398,工商银行,股票,银行,-,2025-11-21 15:00:00,卖出,7.94,7.94,2868.16,0.00%,0.00%,6300,0.00,50020.11,卖出
601398,工商银行,股票,银行,-,2025-12-04 15:00:00,卖出,7.74,7.74,1786.84,0.00%,0.00%,7000,0.00,54177.90,卖出
601398,工商银行,股票,银行,-,2025-12-23 15:00:00,买入,7.75,7.75,0.00,0.00%,0.00%,6400,0.00,49607.04,买入
601398,工商银行,股票,银行,-,2026-01-26 15:00:00,卖出,7.07,7.07,-4352.00,0.00%,0.00%,6400,0.00,45255.04,卖出
601398,工商银行,股票,银行,-,2026-04-29 15:00:00,买入,7.30,7.30,0.00,0.00%,0.00%,6800,0.00,49647.48,买入
601398,工商银行,股票,银行,-,2026-05-08 15:00:00,卖出,7.29,7.29,-68.00,0.00%,0.00%,6800,0.00,49579.48,卖出
601398,工商银行,股票,银行,-,2026-06-18 15:00:00,买入,7.16,7.16,0.00,0.00%,0.00%,6800,0.00,48688.00,买入
601398,工商银行,股票,银行,-,2026-06-24 15:00:00,卖出,7.22,7.22,408.00,0.00%,0.00%,6800,0.00,49096.00,卖出
601398,工商银行,股票,银行,-,2026-08-10 15:00:00,买入,7.53,7.53,0.00,0.00%,0.00%,6600,0.00,49698.00,买入
