i,buy_signal,buy_label,buy_signal_day,buy_open_day,buy_price,shares,cost,sell_signal,sell_label,sell_signal_day,sell_exec_day,sell_price,hold_calendar_days,ret_pct,pnl,price_source
1,pullback_vol,买点1-缩量回踩强支撑,20220413,20220414,3.25,13400,43550.0,weekly_bear,weekly_bear,20220414,20220525,3.14,41,-3.384615384615381,-1474.0,terminal
2,pullback_vol,买点1-缩量回踩强支撑,20220704,20220705,3.28,13500,44280.0,weekly_bear,weekly_bear,20220705,20220720,3.21,15,-2.13414634146341,-900.45,terminal
3,pullback_vol,买点1-缩量回踩强支撑,20230327,20230328,3.26,13100,42706.0,trail_stop,trail_stop,20230328,20230424,3.49,27,7.055214723926394,1470.44,terminal
4,pullback_vol,买点1-缩量回踩强支撑,20230719,20230720,3.66,12400,45384.0,trail_stop,trail_stop,20230720,20230803,3.8,14,3.825136612021849,1736.0,terminal
5,pullback_vol,买点1-缩量回踩强支撑,20230807,20230808,3.76,12100,45496.0,time_force,time_force,20230808,20231009,3.75,62,-0.26595744680850497,-121.0,terminal
6,pullback_vol,买点1-缩量回踩强支撑,20231010,20231011,3.8,12100,45980.0,trail_stop,trail_stop,20231011,20231020,3.87,9,1.8421052631579022,847.0,terminal
7,pullback_vol,买点1-缩量回踩强支撑,20231023,20231024,3.84,11800,45312.0,time_force,time_force,20231024,20231207,3.81,44,-0.781249999999995,-354.0,terminal
8,pullback_vol,买点1-缩量回踩强支撑,20231214,20231215,3.81,11900,45339.0,trail_stop,trail_stop,20231215,20240111,3.86,27,1.3123359580052447,595.0,terminal
9,pullback_vol,买点1-缩量回踩强支撑,20240115,20240116,3.97,11800,46846.0,trail_stop,trail_stop,20240116,20240219,4.35,34,9.571788413098222,4484.0,terminal
10,pullback_vol,买点1-缩量回踩强支撑,20240527,20240528,4.57,10400,47528.0,time_force,time_force,20240528,20240722,5.22,55,14.22319474835885,6826.56,terminal
11,pullback_vol,买点1-缩量回踩强支撑,20241125,20241126,5.54,8900,49306.0,trail_stop,trail_stop,20241126,20250106,6.13,41,10.649819494584834,5251.0,terminal
12,pullback_vol,买点1-缩量回踩强支撑,20250411,20250414,6.4,7800,49920.0,trail_stop,trail_stop,20250414,20250506,6.51,22,1.7187499999999911,858.0,terminal
13,pullback_vol,买点1-缩量回踩强支撑,20250529,20250530,6.6,7500,49500.0,trail_stop,trail_stop,20250530,20250714,7.53,45,14.0909090909091,7009.5,terminal
14,pullback_vol,买点1-缩量回踩强支撑,20250908,20250909,7.12,7000,49840.0,time_force,time_force,20250909,20251110,7.81,62,9.691011235955049,4830.0,terminal
15,pullback_vol,买点1-缩量回踩强支撑,20251117,20251118,7.89,6300,49707.0,trail_stop,trail_stop,20251118,20251121,7.94,3,0.6337135614702245,315.0,terminal
16,pullback_vol,买点1-缩量回踩强支撑,20251222,20251223,7.75,6400,49600.0,stop_loss,stop_loss,20251223,20260126,7.07,34,-8.774193548387094,-4352.0,terminal
17,pullback_vol,买点1-缩量回踩强支撑,20260428,20260429,7.3,6800,49640.0,weekly_bear,weekly_bear,20260429,20260508,7.29,9,-0.1369863013698601,-68.0,terminal
18,pullback_vol,买点1-缩量回踩强支撑,20260617,20260618,7.16,6800,48688.0,weekly_bear,weekly_bear,20260618,20260624,7.22,6,0.837988826815637,408.0,terminal
19,-,-,20230328,20230328,3.602566037735849,26500,95468.0,-,-,20230511,20230511,3.77,,4.647630619684084,5979.56,terminal_only
