代码,名称,品种类型,行业,多空,操作时间,操作类型,操作价格,当前价格,盈利,买入权重(%),当前权重(%),数量,交易费用,市值,业务类型
513530,港股通红利ETF华泰柏瑞,ETF,其它,-,2023-07-07 00:00:00,买入,0.996,0.996,0.000,0.00%,0.00%,50200,0.000,49989.683,买入
513530,港股通红利ETF华泰柏瑞,ETF,其它,-,2023-07-28 00:00:00,买入,1.036,1.036,0.000,0.00%,0.00%,48200,0.000,49914.578,买入
513530,港股通红利ETF华泰柏瑞,ETF,其它,-,2023-08-01 00:00:00,卖出,1.029,1.029,1685.544,0.00%,0.00%,50200,0.000,51675.227,卖出
513530,港股通红利ETF华泰柏瑞,ETF,其它,-,2023-08-29 00:00:00,卖出,0.990,0.990,-2214.640,0.00%,0.00%,48200,0.000,47699.938,卖出
513530,港股通红利ETF华泰柏瑞,ETF,其它,-,2023-09-05 00:00:00,买入,1.008,1.008,0.000,0.00%,0.00%,49500,0.000,49904.946,买入
513530,港股通红利ETF华泰柏瑞,ETF,其它,-,2023-10-17 00:00:00,卖出,0.994,0.994,-699.806,0.00%,0.00%,49500,0.000,49205.140,卖出
513530,港股通红利ETF华泰柏瑞,ETF,其它,-,2024-03-04 00:00:00,买入,1.013,1.013,0.000,0.00%,0.00%,49300,0.000,49921.116,买入
513530,港股通红利ETF华泰柏瑞,ETF,其它,-,2024-03-11 00:00:00,卖出,1.029,1.029,784.101,0.00%,0.00%,49300,0.000,50705.217,卖出
513530,港股通红利ETF华泰柏瑞,ETF,其它,-,2024-03-13 00:00:00,买入,1.036,1.036,0.000,0.00%,0.00%,48200,0.000,49914.578,买入
513530,港股通红利ETF华泰柏瑞,ETF,其它,-,2024-04-26 00:00:00,买入,1.075,1.075,0.000,0.00%,0.00%,46400,0.000,49895.492,买入
513530,港股通红利ETF华泰柏瑞,ETF,其它,-,2024-05-14 00:00:00,卖出,1.208,1.208,14454.714,0.00%,0.00%,94600,0.000,114264.783,卖出
513530,港股通红利ETF华泰柏瑞,ETF,其它,-,2024-08-12 00:00:00,买入,1.093,1.093,0.000,0.00%,0.00%,45700,0.000,49950.363,买入
513530,港股通红利ETF华泰柏瑞,ETF,其它,-,2024-08-20 00:00:00,卖出,1.114,1.114,969.126,0.00%,0.00%,45700,0.000,50919.489,卖出
513530,港股通红利ETF华泰柏瑞,ETF,其它,-,2024-08-21 00:00:00,买入,1.112,1.112,0.000,0.00%,0.00%,44900,0.000,49909.099,买入
513530,港股通红利ETF华泰柏瑞,ETF,其它,-,2024-08-29 00:00:00,卖出,1.122,1.122,476.080,0.00%,0.00%,44900,0.000,50385.180,卖出
513530,港股通红利ETF华泰柏瑞,ETF,其它,-,2024-12-05 00:00:00,买入,1.234,1.234,0.000,0.00%,0.00%,40500,0.000,49992.422,买入
513530,港股通红利ETF华泰柏瑞,ETF,其它,-,2024-12-10 00:00:00,卖出,1.267,1.267,1324.066,0.00%,0.00%,40500,0.000,51316.488,卖出
513530,港股通红利ETF华泰柏瑞,ETF,其它,-,2024-12-13 00:00:00,买入,1.253,1.253,0.000,0.00%,0.00%,39900,0.000,49992.157,买入
513530,港股通红利ETF华泰柏瑞,ETF,其它,-,2024-12-27 00:00:00,卖出,1.282,1.282,1163.428,0.00%,0.00%,39900,0.000,51155.585,卖出
513530,港股通红利ETF华泰柏瑞,ETF,其它,-,2025-01-02 00:00:00,买入,1.265,1.265,0.000,0.00%,0.00%,39500,0.000,49979.610,买入
513530,港股通红利ETF华泰柏瑞,ETF,其它,-,2025-02-19 00:00:00,买入,1.291,1.291,0.000,0.00%,0.00%,38700,0.000,49959.022,买入
513530,港股通红利ETF华泰柏瑞,ETF,其它,-,2025-02-25 00:00:00,卖出,1.276,1.276,418.824,0.00%,0.00%,39500,0.000,50398.434,卖出
513530,港股通红利ETF华泰柏瑞,ETF,其它,-,2025-03-21 00:00:00,卖出,1.320,1.320,1128.438,0.00%,0.00%,38700,0.000,51087.460,卖出
513530,港股通红利ETF华泰柏瑞,ETF,其它,-,2025-03-27 00:00:00,买入,1.315,1.315,0.000,0.00%,0.00%,38000,0.000,49961.938,买入
513530,港股通红利ETF华泰柏瑞,ETF,其它,-,2025-04-07 00:00:00,卖出,1.190,1.190,-4734.297,0.00%,0.00%,38000,0.000,45227.642,卖出
513530,港股通红利ETF华泰柏瑞,ETF,其它,-,2025-04-14 00:00:00,买入,1.277,1.277,0.000,0.00%,0.00%,39100,0.000,49922.618,买入
513530,港股通红利ETF华泰柏瑞,ETF,其它,-,2025-05-08 00:00:00,买入,1.303,1.303,0.000,0.00%,0.00%,38300,0.000,49916.433,买入
513530,港股通红利ETF华泰柏瑞,ETF,其它,-,2025-09-01 00:00:00,卖出,1.512,1.512,17199.094,0.00%,0.00%,77400,0.000,117038.145,卖出
513530,港股通红利ETF华泰柏瑞,ETF,其它,-,2025-10-21 00:00:00,买入,1.549,1.549,0.000,0.00%,0.00%,32200,0.000,49873.617,买入
513530,港股通红利ETF华泰柏瑞,ETF,其它,-,2025-11-03 00:00:00,买入,1.595,1.595,0.000,0.00%,0.00%,31300,0.000,49915.642,买入
513530,港股通红利ETF华泰柏瑞,ETF,其它,-,2025-11-14 00:00:00,卖出,1.640,1.640,2843.296,0.00%,0.00%,31300,0.000,51322.930,卖出
