代码,名称,品种类型,行业,多空,操作时间,操作类型,操作价格,当前价格,盈利,买入权重(%),当前权重(%),数量,交易费用,市值,业务类型
600350,山东高速,股票,交通运输,-,2023-01-05 15:00:00,买入,4.17,4.17,0.00,0.00%,0.00%,10300,0.00,42951.00,买入
600350,山东高速,股票,交通运输,-,2023-02-10 15:00:00,买入,4.33,4.33,0.00,0.00%,0.00%,10000,0.00,43300.00,买入
600350,山东高速,股票,交通运输,-,2023-02-14 15:00:00,卖出,4.24,4.24,-90.82,0.00%,0.00%,10300,0.00,43672.00,卖出
600350,山东高速,股票,交通运输,-,2023-03-07 15:00:00,卖出,4.47,4.47,2211.82,0.00%,0.00%,10000,0.00,44700.00,卖出
600350,山东高速,股票,交通运输,-,2023-03-10 15:00:00,买入,4.45,4.45,0.00,0.00%,0.00%,9800,0.00,43610.00,买入
600350,山东高速,股票,交通运输,-,2023-03-16 15:00:00,卖出,4.65,4.65,1960.00,0.00%,0.00%,9800,0.00,45570.00,卖出
600350,山东高速,股票,交通运输,-,2023-03-23 15:00:00,买入,4.63,4.63,0.00,0.00%,0.00%,9500,0.00,43985.00,买入
600350,山东高速,股票,交通运输,-,2023-04-12 15:00:00,买入,4.75,4.75,0.00,0.00%,0.00%,9400,0.00,44650.00,买入
600350,山东高速,股票,交通运输,-,2023-05-09 15:00:00,卖出,5.89,5.89,22686.00,0.00%,0.00%,18900,0.00,111321.00,卖出
600350,山东高速,股票,交通运输,-,2023-07-04 15:00:00,买入,5.05,5.05,0.00,0.00%,0.00%,9000,0.00,45450.00,买入
600350,山东高速,股票,交通运输,-,2023-07-20 15:00:00,卖出,5.18,5.18,1170.00,0.00%,0.00%,9000,0.00,46620.00,卖出
600350,山东高速,股票,交通运输,-,2023-07-26 15:00:00,买入,5.26,5.26,0.00,0.00%,0.00%,8700,0.00,45762.00,买入
600350,山东高速,股票,交通运输,-,2023-08-24 15:00:00,卖出,5.52,5.52,2262.00,0.00%,0.00%,8700,0.00,48024.00,卖出
600350,山东高速,股票,交通运输,-,2023-08-30 15:00:00,买入,5.48,5.48,0.00,0.00%,0.00%,8400,0.00,46032.00,买入
600350,山东高速,股票,交通运输,-,2023-09-14 15:00:00,买入,5.90,5.90,0.00,0.00%,0.00%,7900,0.00,46610.00,买入
600350,山东高速,股票,交通运输,-,2023-09-18 15:00:00,卖出,5.81,5.81,1062.11,0.00%,0.00%,8400,0.00,48804.00,卖出
600350,山东高速,股票,交通运输,-,2023-10-30 15:00:00,卖出,5.26,5.26,-3346.11,0.00%,0.00%,7900,0.00,41554.00,卖出
600350,山东高速,股票,交通运输,-,2023-11-02 15:00:00,买入,5.40,5.40,0.00,0.00%,0.00%,8500,0.00,45900.00,买入
600350,山东高速,股票,交通运输,-,2023-11-14 15:00:00,卖出,5.24,5.24,-1360.00,0.00%,0.00%,8500,0.00,44540.00,卖出
600350,山东高速,股票,交通运输,-,2023-11-23 15:00:00,买入,5.45,5.45,0.00,0.00%,0.00%,8400,0.00,45780.00,买入
600350,山东高速,股票,交通运输,-,2023-12-25 15:00:00,买入,5.77,5.77,0.00,0.00%,0.00%,8000,0.00,46160.00,买入
600350,山东高速,股票,交通运输,-,2023-12-28 15:00:00,卖出,5.67,5.67,536.78,0.00%,0.00%,8400,0.00,47628.00,卖出
600350,山东高速,股票,交通运输,-,2024-01-08 15:00:00,卖出,6.06,6.06,3631.22,0.00%,0.00%,8000,0.00,48480.00,卖出
600350,山东高速,股票,交通运输,-,2024-01-11 15:00:00,买入,6.09,6.09,0.00,0.00%,0.00%,7700,0.00,46893.00,买入
600350,山东高速,股票,交通运输,-,2024-01-30 15:00:00,卖出,6.34,6.34,1925.00,0.00%,0.00%,7700,0.00,48818.00,卖出
600350,山东高速,股票,交通运输,-,2024-10-14 15:00:00,买入,7.95,7.95,0.00,0.00%,0.00%,6100,0.00,48495.00,买入
600350,山东高速,股票,交通运输,-,2024-10-23 15:00:00,卖出,8.17,8.17,1342.00,0.00%,0.00%,6100,0.00,49837.00,卖出
600350,山东高速,股票,交通运输,-,2024-10-24 15:00:00,买入,8.05,8.05,0.00,0.00%,0.00%,6000,0.00,48300.00,买入
600350,山东高速,股票,交通运输,-,2024-11-11 15:00:00,卖出,8.14,8.14,540.00,0.00%,0.00%,6000,0.00,48840.00,卖出
600350,山东高速,股票,交通运输,-,2024-11-13 15:00:00,买入,8.01,8.01,0.00,0.00%,0.00%,6100,0.00,48861.00,买入
600350,山东高速,股票,交通运输,-,2024-11-22 15:00:00,卖出,8.37,8.37,2196.00,0.00%,0.00%,6100,0.00,51057.00,卖出
600350,山东高速,股票,交通运输,-,2024-11-25 15:00:00,买入,8.28,8.28,0.00,0.00%,0.00%,5900,0.00,48852.00,买入
600350,山东高速,股票,交通运输,-,2024-12-09 15:00:00,买入,8.98,8.98,0.00,0.00%,0.00%,5500,0.00,49390.00,买入
600350,山东高速,股票,交通运输,-,2024-12-11 15:00:00,卖出,8.62,8.62,13.46,0.00%,0.00%,5900,0.00,50858.00,卖出
600350,山东高速,股票,交通运输,-,2024-12-17 15:00:00,卖出,9.01,9.01,2157.54,0.00%,0.00%,5500,0.00,49555.00,卖出
600350,山东高速,股票,交通运输,-,2024-12-26 15:00:00,买入,9.06,9.06,0.00,0.00%,0.00%,5400,0.00,48924.00,买入
600350,山东高速,股票,交通运输,-,2025-01-02 15:00:00,卖出,9.08,9.08,108.00,0.00%,0.00%,5400,0.00,49032.00,卖出
600350,山东高速,股票,交通运输,-,2025-01-21 15:00:00,买入,8.78,8.78,0.00,0.00%,0.00%,5600,0.00,49168.00,买入
600350,山东高速,股票,交通运输,-,2025-01-24 15:00:00,卖出,8.99,8.99,1176.00,0.00%,0.00%,5600,0.00,50344.00,卖出
600350,山东高速,股票,交通运输,-,2025-02-12 15:00:00,买入,8.81,8.81,0.00,0.00%,0.00%,5600,0.00,49336.00,买入
600350,山东高速,股票,交通运输,-,2025-02-21 15:00:00,卖出,9.34,9.34,2968.00,0.00%,0.00%,5600,0.00,52304.00,卖出
600350,山东高速,股票,交通运输,-,2025-02-24 15:00:00,买入,9.34,9.34,0.00,0.00%,0.00%,5300,0.00,49502.00,买入
600350,山东高速,股票,交通运输,-,2025-03-31 15:00:00,买入,9.82,9.82,0.00,0.00%,0.00%,5000,0.00,49100.00,买入
600350,山东高速,股票,交通运输,-,2025-04-02 15:00:00,卖出,9.62,9.62,249.05,0.00%,0.00%,5300,0.00,50986.00,卖出
600350,山东高速,股票,交通运输,-,2025-05-12 15:00:00,卖出,9.97,9.97,1984.95,0.00%,0.00%,5000,0.00,49850.00,卖出
600350,山东高速,股票,交通运输,-,2025-07-01 15:00:00,买入,9.86,9.86,0.00,0.00%,0.00%,5000,0.00,49300.00,买入
600350,山东高速,股票,交通运输,-,2025-08-05 15:00:00,卖出,9.32,9.32,-2700.00,0.00%,0.00%,5000,0.00,46600.00,卖出
600350,山东高速,股票,交通运输,-,2026-01-09 15:00:00,买入,9.09,9.09,0.00,0.00%,0.00%,5400,0.00,49086.00,买入
600350,山东高速,股票,交通运输,-,2026-01-13 15:00:00,卖出,9.24,9.24,810.00,0.00%,0.00%,5400,0.00,49896.00,卖出
600350,山东高速,股票,交通运输,-,2026-01-15 15:00:00,买入,9.17,9.17,0.00,0.00%,0.00%,5400,0.00,49518.00,买入
600350,山东高速,股票,交通运输,-,2026-01-23 15:00:00,卖出,9.42,9.42,1350.00,0.00%,0.00%,5400,0.00,50868.00,卖出
600350,山东高速,股票,交通运输,-,2026-01-26 15:00:00,买入,9.53,9.53,0.00,0.00%,0.00%,5200,0.00,49556.00,买入
600350,山东高速,股票,交通运输,-,2026-01-30 15:00:00,卖出,9.60,9.60,364.00,0.00%,0.00%,5200,0.00,49920.00,卖出
600350,山东高速,股票,交通运输,-,2026-02-03 15:00:00,买入,9.76,9.76,0.00,0.00%,0.00%,5100,0.00,49776.00,买入
600350,山东高速,股票,交通运输,-,2026-03-20 15:00:00,卖出,9.91,9.91,765.00,0.00%,0.00%,5100,0.00,50541.00,卖出
600350,山东高速,股票,交通运输,-,2026-04-09 15:00:00,买入,9.86,9.86,0.00,0.00%,0.00%,5000,0.00,49300.00,买入
600350,山东高速,股票,交通运输,-,2026-04-23 15:00:00,买入,10.53,10.53,0.00,0.00%,0.00%,4700,0.00,49491.00,买入
600350,山东高速,股票,交通运输,-,2026-04-29 15:00:00,卖出,10.32,10.32,676.80,0.00%,0.00%,5000,0.00,51600.00,卖出
600350,山东高速,股票,交通运输,-,2026-05-13 15:00:00,卖出,10.67,10.67,2281.20,0.00%,0.00%,4700,0.00,50149.00,卖出
600350,山东高速,股票,交通运输,-,2026-05-14 15:00:00,买入,10.58,10.58,0.00,0.00%,0.00%,4700,0.00,49726.00,买入
600350,山东高速,股票,交通运输,-,2026-05-26 15:00:00,卖出,11.40,11.40,3854.00,0.00%,0.00%,4700,0.00,53580.00,卖出
600350,山东高速,股票,交通运输,-,2026-06-24 15:00:00,买入,10.58,10.58,0.00,0.00%,0.00%,4700,0.00,49726.00,买入
600350,山东高速,股票,交通运输,-,2026-07-09 15:00:00,卖出,12.14,12.14,7332.00,0.00%,0.00%,4700,0.00,57058.00,卖出
