代码,名称,品种类型,行业,多空,操作时间,操作类型,操作价格,当前价格,盈利,买入权重(%),当前权重(%),数量,交易费用,市值,业务类型
601939,建设银行,股票,银行,-,2023-03-14 15:00:00,买入,4.25,4.25,0.00,0.00%,0.00%,10500,0.00,44617.65,买入
601939,建设银行,股票,银行,-,2023-03-21 15:00:00,卖出,4.36,4.36,1155.00,0.00%,0.00%,10500,0.00,45772.65,卖出
601939,建设银行,股票,银行,-,2023-03-24 15:00:00,买入,4.41,4.41,0.00,0.00%,0.00%,10200,0.00,44974.86,买入
601939,建设银行,股票,银行,-,2023-04-12 15:00:00,买入,4.58,4.58,0.00,0.00%,0.00%,9900,0.00,45335.07,买入
601939,建设银行,股票,银行,-,2023-04-21 15:00:00,卖出,4.68,4.68,1844.06,0.00%,0.00%,9900,0.00,46325.07,卖出
601939,建设银行,股票,银行,-,2023-05-10 15:00:00,卖出,5.04,5.04,5571.94,0.00%,0.00%,10200,0.00,51400.86,卖出
601939,建设银行,股票,银行,-,2023-06-27 15:00:00,买入,4.66,4.66,0.00,0.00%,0.00%,9800,0.00,45661.14,买入
601939,建设银行,股票,银行,-,2023-07-17 15:00:00,卖出,4.72,4.72,578.20,0.00%,0.00%,9800,0.00,46239.34,卖出
601939,建设银行,股票,银行,-,2023-07-18 15:00:00,买入,4.69,4.69,0.00,0.00%,0.00%,9700,0.00,45476.51,买入
601939,建设银行,股票,银行,-,2023-08-02 15:00:00,卖出,4.80,4.80,1067.00,0.00%,0.00%,9700,0.00,46543.51,卖出
601939,建设银行,股票,银行,-,2023-08-07 15:00:00,买入,4.80,4.80,0.00,0.00%,0.00%,9600,0.00,46063.68,买入
601939,建设银行,股票,银行,-,2023-08-28 15:00:00,卖出,4.95,4.95,1440.00,0.00%,0.00%,9600,0.00,47503.68,卖出
601939,建设银行,股票,银行,-,2023-08-31 15:00:00,买入,4.81,4.81,0.00,0.00%,0.00%,9500,0.00,45678.85,买入
