名次,标的,得分,建议均线,均线来源,建议复权,复权来源,Δ盈亏,白名单,跨年轮次,年最少轮次,成交年,盈利年,稳定性,年等权盈亏,胜率,利润因子,策略质量,trail占比,最大回撤,年化波动,贴线率,近期,未过原因,盈亏2016,盈亏2017,盈亏2018,盈亏2019,盈亏2020,盈亏2021,盈亏2022,盈亏2023,盈亏2024,盈亏2025,盈亏2026
1,600188.SH,97.50000000000001,EMA,compare,前复权,compare,22575.260000000002,,23,0,5,5,100,4658.14875,78.25217391304346,4.281721087273168,0.6521739130434783,82.6086956521739,-6.4276,61.074992476915426,25.321888412017167,无近期,,,0,0,,,23494.87,0,4659.24,1431.08,3606,4074
2,601877.SH,96.06404958677686,SMA,compare,等比前复权,compare,-2761.6100000000006,,30,0,8,7,87.5,3491.5800000000004,83.33,5.007535640910329,0.6000000000000001,80,-3.9393,35.2354046250095,40.772532188841204,无近期,,7393.25,0,7198.63,3012.83,5376.58,-3055.03,0,0,3520.95,12567.42,2392.75
3,603259.SH,95.99173553719008,EMA,compare,前复权,compare,18294.39,,30,0,7,5,71.42857142857143,4957.446666666667,86.66666666666667,4.62554596064289,0.8,90,-4.6034,56.29842798985049,33.90557939914164,无近期,,,,0,4875,5485.71,-1276,0,-1762,17356,9240.6,10697.71
4,601939.SH,95.66115702479338,SMA,compare,前复权,compare,-1173.0999999999985,是,47,0,9,7,77.77777777777779,5892.249090909091,76.59574468085107,3.5847052152115184,0.5957446808510639,78.72340425531915,-6.2170000000000005,27.47518378868795,54.077253218884124,无近期,,0,0,-3186,16738,1856,4976,-6217,27287,17130,220.74,6010
5,600938.SH,95.6198347107438,EMA,compare,等比前复权,compare,19250.010000000002,,19,0,4,4,100,4763.0740000000005,73.6842105263158,5.823874109273281,0.5789473684210527,78.94736842105263,-3.0673,38.46379231310444,35.622317596566525,无近期,,,,,,,,0,9096.18,2108.04,2646.76,9964.39
5,600028.SH,95.6198347107438,EMA,compare,前复权,compare,32695.800000000003,是,53,0,10,8,80,4613.8,77.3622641509434,3.011565596512089,0.6603773584905661,81.13207547169812,-6.253,26.49719098413435,38.197424892703864,无近期,,1120,6697,4062,0,-5575,5688,15235,5113,11958.8,-2941,9394
7,605499.SH,93.80165289256198,EMA,compare,等比前复权,compare,29277.37,,22,0,4,4,100,3237.9883333333332,77.26818181818183,2.6972857134120822,0.6363636363636364,81.81818181818183,-4.1548,45.672167989608205,36.48068669527897,无近期,,,,,,,0,3708.21,368.42,10732.74,4618.56,0
8,600350.SH,93.7809917355372,EMA,compare,等比前复权,compare,17615.969999999987,是,68,2,11,8,72.72727272727273,5285.23,79.42058823529412,2.631079529306672,0.5735294117647058,77.94117647058823,-8.5722,52.95200822300099,36.05150214592275,无近期,,4582.93,2855.96,-3880.51,-790.13,-2390.75,2915.11,5635.94,21884.26,7401.7,3120.27,16802.75
9,600741.SH,93.30578512396693,SMA,compare,前复权,compare,-17271,,27,0,8,6,75,3011.090909090909,85.17777777777776,3.3042994295255324,0.7037037037037037,85.18518518518519,-9,19.132296641910234,48.497854077253216,无近期,,0,1396,0,21677,2100,2783,0,9519,-2568,7215,-9000
10,000301.SZ,93.150826446281,SMA,compare,前复权,compare,-5958,,25,0,7,5,71.42857142857143,4205.636363636364,80.00800000000001,3.2485661514532906,0.6000000000000001,80,-8.8786,61.32522320276968,27.467811158798284,无近期,,14114,18759,12631,0,0,2898,0,0,3003,-2421,-2722
11,002001.SZ,92.87190082644628,EMA,compare,等比前复权,compare,13379.509999999995,,53,1,11,9,81.81818181818183,3570.47,79.23584905660377,2.3054856418806624,0.6226415094339623,79.24528301886792,-7.2273000000000005,43.01919411363879,45.06437768240343,无近期,,1412.1,4336.78,-3660.53,4403.71,9322.8,1064.97,6035.47,818.87,4361.15,14859.85,-3680
