名次,标的,得分,建议均线,均线来源,Δ盈亏,白名单,跨年轮次,成交年,盈利年,稳定性,年等权盈亏,胜率,利润因子,策略质量,trail占比,最大回撤,年化波动,贴线率,近期,未过原因,盈亏2021,盈亏2022,盈亏2023,盈亏2024,盈亏2025,盈亏2026
1,600350.SH,97.67716535433073,SMA,compare,-2243,,27,6,6,100,5546.333333333333,92.59629629629629,9.03816425120773,0.8148148148148148,88.88888888888889,-4.0526,52.85292375647869,35.1931330472103,无近期,,6711,6934,5269,8029,3270,3065
2,600028.SH,95.59055118110238,EMA,compare,38587.8,,40,6,5,83.33333333333334,8434.800000000001,77.50750000000001,4.4313377178113775,0.75,85,-8.144,25.92444434375484,38.62660944206009,无近期,,5688,16930,9579,11958.8,-2941,9394
3,601988.SH,93.30708661417324,SMA,compare,-1487.5999999999985,,35,6,5,83.33333333333334,5713,74.28285714285714,5.151386702192079,0.6571428571428571,77.14285714285715,-6.4918000000000005,24.433424056455927,52.78969957081545,无近期,,-1249,6614,12852,8162,5174,2725
4,601939.SH,92.95275590551181,EMA,compare,12912.300000000003,,36,6,5,83.33333333333334,10697.006666666666,77.78055555555555,4.882230257690115,0.5,75,-13.286000000000001,27.662849792067966,54.506437768240346,无近期,,3793,-6643,37586.3,23049,1782.74,4614
5,600958.SH,91.75196850393701,EMA,compare,9779.380000000001,,22,4,4,100,5917.245,72.73181818181818,5.04056903860927,0.5454545454545454,77.27272727272727,-3.9301999999999997,19.137937871904494,49.78540772532189,无近期,,1730.47,0,12095,17410,4268,0
6,601328.SH,89.48818897637796,EMA,compare,16442,,39,6,5,83.33333333333334,5817.983333333334,71.79230769230769,4.253299161230196,0.5641025641025641,74.35897435897436,-6.9544,22.58379008453538,56.22317596566524,无近期,,-1707,5642,19012,4562,7254.9,144
7,601336.SH,89.27165354330708,SMA,compare,-8431,,9,3,3,100,3495,77.80000000000001,4.231124807395994,0.5555555555555556,77.77777777777779,-8.244,25.86665378390026,36.05150214592275,无近期,,0,0,83,6622,14265,0
8,601818.SH,89.05511811023621,SMA,compare,-4908.700000000001,,26,5,4,80,5035.95,73.0576923076923,3.237702732726061,0.6538461538461539,80.76923076923077,-7.1176,17.229908159895263,72.53218884120172,无近期,,4965,-832,11488,13408.7,1186,0
9,000425.SZ,88.46456692913385,SMA,compare,-18593,,16,4,3,75,4348.5,75.00625000000001,5.9274787535410765,0.625,81.25,-7.142900000000001,33.14939546444533,27.896995708154503,无近期,,-295,0,4080,3288,19018,0
10,601688.SH,88.14960629921259,SMA,compare,-4940,,14,4,4,100,3744.3333333333335,71.4357142857143,5.249290713069794,0.5714285714285714,78.57142857142857,-5.2465,24.309722588011994,33.047210300429185,无近期,,185,966,15718,0,5597,0
11,002001.SZ,85.80708661417322,SMA,compare,-6760.16,,22,5,4,80,3335.9166666666665,81.82727272727274,2.6469595984530567,0.5454545454545454,77.27272727272727,-8.288,42.96982185355031,44.20600858369099,无近期,,0,8947.5,952,516,12160,-2560
12,600919.SH,83.91732283464567,EMA,compare,17633,,34,6,5,83.33333333333334,4340.513333333333,70.59117647058824,2.2817107141099466,0.588235294117647,76.47058823529412,-13.774000000000001,17.994385157674028,63.519313304721024,无近期,,3026,8153,-6887,7068,9246,5437.08
13,601989.SH,83.85826771653542,EMA,compare,3116,,16,4,3,75,3576,75.00625000000001,4.668946648426813,0.5,75,-8.292,0,100,无近期,,-3637,0,15007,1527,8559,0
14,601398.SH,83.30708661417322,SMA,compare,-2537.5000000000073,,24,6,5,83.33333333333334,6228.948333333334,70.81666666666666,4.430884643877755,0.37499999999999994,66.66666666666666,-7.6929,23.668849414468195,64.8068669527897,无近期,,2181.2,-2856.51,16777,6894,13268,1110
15,600893.SH,82.42125984251969,SMA,compare,-16497,,18,6,4,66.66666666666666,3130.6666666666665,77.77222222222221,2.659950512548604,0.5555555555555556,77.77777777777779,-8.7993,42.548210243447734,30.472103004291846,无近期,,5136,-3152,-201,7979,4102,4920
16,600031.SH,82.36220472440945,SMA,compare,-22811,,18,4,4,100,3812.3333333333335,72.21666666666668,2.3989358449024523,0.4444444444444445,72.22222222222221,-11.4048,30.593859706123787,33.90557939914164,无近期,,0,0,478,16530,5374,492
17,601318.SH,81.81102362204726,SMA,compare,-33815,,27,5,3,60,8165.666666666667,74.07777777777777,3.319023051072088,0.4814814814814814,74.07407407407408,-16.153200000000002,24.2659994351256,37.33905579399141,无近期,,-838,0,3402,32027,17419,-3016
18,600875.SH,80.78740157480317,EMA,compare,36422,,21,5,4,80,6597.166666666667,66.66666666666667,4.353070732740364,0.42857142857142866,71.42857142857143,-12.1439,49.581544726707264,21.030042918454935,无近期,,3143,12533,-5587,3803,25691,0
19,601788.SH,79.38976377952757,EMA,compare,5729.000000000002,,34,5,4,80,2714.536666666667,73.52941176470588,1.7942660684677656,0.588235294117647,76.47058823529412,-10.318299999999999,21.175274013300726,63.519313304721024,无近期,,314,7645,4400,-2436,6364.22,0
20,000625.SZ,79.03543307086615,SMA,compare,-3997,,7,4,3,75,2136.8333333333335,85.71428571428571,10,0.4285714285714286,71.42857142857143,-0.086,26.159867167084126,54.93562231759657,无近期,,0,-43,9699,2565,600,0
21,002129.SZ,78.62204724409449,EMA,compare,6414.4000000000015,,17,5,3,60,3952.2000000000003,70.58235294117647,2.7688497687602562,0.6470588235294117,82.35294117647058,-8.627500000000001,48.916271816300856,29.613733905579398,无近期,,-294.4,2660,-3078.4,0,3080,21346
22,600016.SH,78.14960629921259,EMA,compare,956,,18,4,3,75,2936.5,72.22222222222223,2.4569585710741753,0.49999999999999994,66.66666666666666,-8.37,17.098481376109355,66.09442060085837,无近期,,0,519,-4185,10092,11193,0
23,601838.SH,78.11023622047243,EMA,compare,12869.8,,21,5,3,60,2468.633333333333,85.70476190476191,2.2742429456297315,0.7142857142857142,85.71428571428571,-13.588600000000001,17.729685429242608,58.36909871244635,无近期,,0,1092,-114,5991,-2103,9945.8
24,002230.SZ,76.90944881889766,EMA,compare,8449,,17,3,2,66.66666666666666,1903.3333333333333,82.34117647058824,2.686106599734239,0.5294117647058822,76.47058823529412,-7.1329,30.518308269825933,39.48497854077253,无近期,,-942,0,0,1367,10995,0
25,002049.SZ,76.16141732283465,EMA,compare,4908.139999999999,,22,5,4,80,1970.4516666666666,77.26818181818182,1.755851390972012,0.5454545454545454,77.27272727272727,-11.1343,49.052899093635624,30.90128755364807,无近期,,-5567.15,5922.86,0,2093,3794,5580
26,601877.SH,73.58267716535433,EMA,compare,2007,,16,5,3,60,2548.8333333333335,75.0125,2.3586531627576406,0.5,75,-7.940899999999999,35.519565885444585,40.343347639484975,无近期,,-3570,-3550,0,8349,11793,2271
27,601377.SH,71.45669291338582,EMA,compare,682.619999999999,,37,5,2,40,4390.641666666666,78.37837837837837,2.5504800547591424,0.48648648648648646,72.97297297297297,-8.196,14.938599046102595,54.506437768240346,无近期,,20194.62,-3190.77,-3113,0,13694,-1241
28,601668.SH,70.70866141732283,SMA,compare,-20742.03,,19,5,4,80,3002.845,68.41052631578948,2.4124388523047977,0.31578947368421056,63.1578947368421,-9.114,17.62051999057468,72.96137339055794,无近期,,2466,11560,7018.07,1530,-4557,0
29,600061.SH,70.62992125984252,EMA,compare,5984.0700000000015,,25,5,3,60,2146.3283333333334,72,1.9611142622583775,0.64,80,-15.953800000000001,20.171918865714883,65.23605150214593,无近期,,-7565.53,-810,10992.6,0,8789.9,1471
30,600115.SH,70.29527559055117,SMA,compare,-10309,,22,5,3,60,5399.5,63.65,3.0831404320987654,0.4545454545454546,72.72727272727273,-7.5757,25.189872071496193,36.48068669527897,无近期,,1784,10778,-1557,-767,22159,0
31,603659.SH,67.08661417322834,SMA,compare,-6474.340000000001,,10,4,2,50,1709.3666666666668,80,2.290792709479137,0.6000000000000001,80,-7.8527,42.05340502240729,33.047210300429185,无近期,,7835.86,-3889.66,-2405,0,8715,0
