名次,标的,得分,建议均线,均线来源,Δ盈亏,白名单,跨年轮次,成交年,盈利年,稳定性,年等权盈亏,胜率,利润因子,策略质量,trail占比,最大回撤,年化波动,贴线率,近期,未过原因,盈亏2021,盈亏2022,盈亏2023,盈亏2024,盈亏2025,盈亏2026
1,600350.SH,99.29133858267716,EMA,compare,19273.290000000008,,42,6,6,100,10221.096666666666,85.71904761904763,5.75632499307801,0.7142857142857142,85.71428571428571,-7.2124999999999995,52.95658348533641,36.48068669527897,无近期,,2915.11,6227.73,24265.01,7462.62,3397.21,17058.9
2,600875.SH,93.22834645669292,EMA,compare,12505.099999999999,,22,5,4,80,6962.798333333333,77.25454545454546,7.672937068633669,0.5454545454545454,77.27272727272727,-9.5195,49.133171714897856,21.888412017167383,无近期,,6238,12677.64,-4301.49,3023.28,24139.36,0
3,601988.SH,93.11023622047243,EMA,compare,2615.8800000000047,,41,6,5,83.33333333333334,7185.850000000001,73.15365853658537,6.240415585930947,0.5853658536585366,73.17073170731707,-6.3081,24.638598397216906,55.36480686695279,无近期,,-1444.63,3302.66,22762.62,11082.31,3794.8,3617.34
4,601939.SH,93.07086614173227,SMA,compare,-1099.6300000000047,,37,6,5,83.33333333333334,5771.84,75.66486486486488,3.741860371212835,0.6216216216216216,78.37837837837837,-6.7167,27.88148137758691,55.793991416309005,无近期,,1600.46,-3060.45,11549.79,16302.21,2070.52,6168.51
5,601699.SH,92.04724409448819,EMA,compare,15811.950000000004,,28,6,5,83.33333333333334,6795.7283333333335,74.99285714285715,3.3173562577542413,0.5714285714285715,78.57142857142857,-18.5012,50.91596616943666,25.321888412017167,无近期,,22980.93,9901.34,-5007.24,1632.23,1830.39,9436.72
6,601328.SH,91.77165354330708,SMA,compare,-11855.7,,43,6,5,83.33333333333334,7036.133333333334,74.4093023255814,4.53429201224622,0.5116279069767442,69.76744186046511,-7.5512,22.68725085204695,57.5107296137339,无近期,,-3019.19,5779.45,23992.97,10534.56,4846.72,82.29
7,000425.SZ,91.63385826771653,SMA,compare,-12291.57,,17,4,3,75,5067.591666666666,76.47058823529412,7.326791986416526,0.6470588235294117,82.35294117647058,-5.9917,33.17619402858578,28.32618025751073,无近期,,-280.41,0,9945.69,2396.97,18343.3,0
8,002001.SZ,89.84251968503938,EMA,compare,1278.6599999999999,,35,6,5,83.33333333333334,3882.08,79.98857142857143,2.1383831304597716,0.6571428571428571,80,-14.454600000000001,42.61797332653401,45.493562231759654,无近期,,1064.97,6035.47,818.87,4361.15,14692.02,-3680
9,601877.SH,86.0236220472441,SMA,compare,-845.6400000000012,,14,4,3,75,2729.7166666666667,85.70714285714284,3.7354063117952006,0.7142857142857143,85.71428571428571,-7.807300000000001,35.644013971281375,40.343347639484975,无近期,,-3055.03,0,0,3520.95,13519.63,2392.75
10,600893.SH,80.8267716535433,SMA,compare,-16663.910000000003,,19,6,4,66.66666666666666,3179.2233333333334,78.93684210526315,2.70153434183684,0.47368421052631576,73.68421052631578,-8.6932,42.228077624186675,30.90128755364807,无近期,,5215.12,-3112.98,-198.51,7938.37,4321.87,4911.47
11,002049.SZ,80.74803149606299,EMA,compare,7166.76,,23,5,4,80,2349.7483333333334,78.26521739130435,1.917016113243456,0.5652173913043478,78.26086956521739,-10.901,49.12427572414957,31.330472103004293,无近期,,-5450.52,8127.07,0,2078.61,3777.16,5566.17
12,601288.SH,80.45275590551181,SMA,compare,-88.22999999999593,,17,5,3,60,4576.828333333333,76.47058823529412,4.5604964811194035,0.4117647058823529,58.82352941176471,-7.704,27.00613801851687,46.78111587982833,无近期,,-3523.38,-2993.78,17616.1,10845.25,5516.78,0
13,600028.SH,80.03937007874016,EMA,compare,11897.159999999998,,42,6,4,66.66666666666666,4127.461666666666,71.42857142857142,1.8253324939403406,0.5714285714285714,76.19047619047619,-14.810599999999999,26.045702158716168,39.48497854077253,无近期,,-5775.92,4520.78,5835.49,14373.2,-3375.86,9187.08
14,000625.SZ,79.35039370078741,SMA,compare,-2221.1699999999964,,7,4,3,75,1943.7766666666664,85.71428571428571,10,0.4285714285714286,71.42857142857143,-0.0791,26.072837803539194,56.22317596566524,无近期,,0,-39.53,8694.63,2405.46,602.1,0
15,601788.SH,79.21259842519684,EMA,compare,9042.509999999998,,35,5,4,80,2648.5383333333334,74.28571428571429,1.799631563931105,0.6000000000000001,77.14285714285715,-10.159500000000001,21.015355288143322,63.519313304721024,无近期,,283.2,8265.57,3378.21,-2349.28,6313.53,0
16,002129.SZ,79.0748031496063,EMA,compare,6420.41,,17,5,3,60,3957.09,70.58235294117647,2.771675330082873,0.6470588235294117,82.35294117647058,-8.3204,48.96261793311848,29.613733905579398,无近期,,-282.96,2471.01,-2871.51,0,3080,21346
17,600019.SH,78.46456692913385,SMA,compare,-16718.100000000006,,25,5,3,60,5078.956666666668,68.004,3.3729191811435646,0.52,76,-7.781599999999999,21.94027608525945,60.94420600858369,无近期,,24442.33,0,-1063.19,3997.17,4894.51,-1797.08
18,601898.SH,78.34645669291338,EMA,compare,15177.100000000002,,21,6,5,83.33333333333334,4662.415,66.65714285714287,2.3913233554108912,0.38095238095238093,66.66666666666666,-9.7511,43.15237303444609,23.605150214592275,无近期,,5835.25,-1133.55,4387.16,4016.82,14139.61,729.2
19,601318.SH,78.28740157480316,SMA,compare,-8803.229999999996,,24,5,3,60,4588.714999999999,70.82499999999999,2.5868142267704934,0.5,75,-11.7971,24.38107536572128,39.05579399141631,无近期,,-2059.52,0,4106.89,15878.96,12524.09,-2918.13
20,600958.SH,78.2283464566929,SMA,compare,-2501.770000000004,,15,5,4,80,4075.8716666666674,73.33333333333333,5.665141202414291,0.19999999999999996,60,-3.5867000000000004,18.935636530530996,50.64377682403433,无近期,,8432.83,0,-771.51,15984.19,621.93,187.79
21,600025.SH,77.24409448818898,EMA,compare,18574.979999999992,,36,6,3,50,4190.564999999999,77.77777777777777,2.2474970317642162,0.5277777777777778,75,-11.0942,18.550223165662903,59.227467811158796,无近期,,12675.49,-1602.37,20203.94,2090.63,-2927.22,-5297.08
22,600795.SH,77.10629921259843,EMA,compare,7281.620000000004,,25,6,4,66.66666666666666,3842.798333333334,71.99199999999999,2.5781577473966353,0.4,68,-9.238399999999999,19.62361936691833,48.927038626609445,无近期,,13933.95,1443.72,2863.58,-190.12,7087.1,-2081.44
23,600016.SH,77.10629921259842,EMA,compare,3294.1399999999976,,17,4,3,75,3273.498333333333,70.57647058823531,2.997940109575998,0.4117647058823529,58.82352941176471,-7.9833,17.378657907381214,66.09442060085837,无近期,,0,404.96,-1186.42,8376.47,12045.98,0
24,601398.SH,75.94488188976378,SMA,compare,-3849.7800000000025,,24,6,4,66.66666666666666,5049.298333333333,66.67083333333333,3.5144864505955096,0.375,62.5,-8.3264,23.848356524892242,65.66523605150213,无近期,,-185.22,-2261.62,6588.09,15407.61,9813.61,933.32
25,600674.SH,75.55118110236221,EMA,compare,25406.89,,44,6,4,66.66666666666666,2955,77.275,1.5687459200579972,0.4772727272727273,72.72727272727273,-14.551,20.593335192528706,63.94849785407726,无近期,,3505.27,1428.06,7433.73,9900.78,-896.16,-3641.68
26,600219.SH,75.27559055118111,SMA,compare,-10178.900000000001,,20,5,4,80,3333.9,70,2.859243843928138,0.3,65,-8.5144,53.063833675602076,27.038626609442062,无近期,,2749.98,670.64,-3621.14,12900.66,7303.26,0
27,601009.SH,74.5275590551181,SMA,compare,-50.56999999999971,,30,5,4,80,2940.1666666666665,76.67666666666668,2.389464298935277,0.26666666666666666,63.33333333333333,-7.8995999999999995,18.537541590714927,56.65236051502146,无近期,,2443.88,1719.6,0,4661.28,9743.38,-927.14
28,601377.SH,74.17322834645668,EMA,compare,486.8600000000042,,37,5,2,40,4509.871666666667,78.37837837837837,2.6527809166170897,0.48648648648648646,72.97297297297297,-7.5532,14.814640387504422,54.93562231759657,无近期,,21299.24,-3435.36,-2953.89,0,13369.93,-1220.69
29,600115.SH,73.68110236220473,SMA,compare,-10309,,22,5,3,60,5399.5,63.65,3.0831404320987654,0.4545454545454546,72.72727272727273,-7.5757,25.536459935082522,36.48068669527897,无近期,,1784,10778,-1557,-767,22159,0
30,601058.SH,73.34645669291339,EMA,compare,15145,,32,6,4,66.66666666666666,3256.515,71.884375,1.7291034408643076,0.4375,71.875,-15.5364,37.43305730018191,42.91845493562232,无近期,,16088.54,-5347.23,6457.8,5268.52,2422.32,-5350.86
31,600919.SH,73.2283464566929,SMA,compare,-296.72000000000116,,39,6,5,83.33333333333334,3830.025,64.11282051282052,1.7401257625854378,0.4358974358974359,69.23076923076923,-14.374999999999998,18.128527142565297,63.94849785407726,无近期,,418.33,6076.81,-5466.65,5507.02,10655.87,5788.77
32,600845.SH,72.9724409448819,SMA,compare,-3003.8,,7,4,3,75,1016.9266666666666,85.71428571428571,2.764935928957797,0.4285714285714286,71.42857142857143,-6.914199999999999,38.5521338394619,39.05579399141631,无近期,,5297.07,1790.79,0,-3457.1,0,2470.8
33,601088.SH,72.24409448818896,EMA,compare,3015.399999999998,,46,6,5,83.33333333333334,3646.5166666666664,63.05217391304349,1.6451442640836245,0.4565217391304348,69.56521739130434,-10.0719,26.010949465579515,49.35622317596567,无近期,,4842.27,-245.18,2173.83,5596.96,6021.3,3489.92
34,600031.SH,71.71259842519684,SMA,compare,-20560.03,,17,4,3,75,3289.565,64.71176470588236,2.187536438544083,0.4117647058823529,70.58823529411765,-10.0994,30.435765926208674,35.1931330472103,无近期,,0,0,2016.12,15669.08,2985.23,-933.04
35,600233.SH,71.5748031496063,SMA,compare,-6837.550000000001,,12,4,2,50,1876.3883333333333,75,7.254871022761996,0.6666666666666667,83.33333333333334,-3.0212,35.078951657514374,31.330472103004293,无近期,,0,4946.88,-1510.62,-22.04,0,7844.11
36,601225.SH,71.10236220472441,EMA,compare,5391.27,,33,6,5,83.33333333333334,3198.293333333333,69.70303030303032,1.8431112468229163,0.27272727272727265,63.63636363636363,-18.7028,36.53551152350764,34.33476394849785,无近期,,19944.53,2420.23,1447.12,-8774.86,3972.43,180.31
37,002555.SZ,69.7244094488189,EMA,compare,7916.16,,15,5,4,80,1205.765,73.33333333333333,1.7514926830484392,0.4666666666666666,73.33333333333333,-8.946800000000001,36.69577367496258,31.759656652360512,无近期,,-777.95,517.04,0,5326.96,1967.72,200.82
38,601838.SH,68.54330708661416,EMA,compare,5041.84,,33,6,4,66.66666666666666,1350.82,75.76060606060605,1.329782390301006,0.6363636363636364,81.81818181818183,-10.524899999999999,17.86409302078046,59.227467811158796,无近期,,237.74,-5262.45,-304.52,3413.56,342.87,9677.72
39,601985.SH,68.1496062992126,EMA,compare,9914.850000000002,,31,6,4,66.66666666666666,2391.2616666666668,70.96774193548387,1.8601830851569607,0.3548387096774194,64.51612903225806,-7.800999999999999,14.89695542778519,68.24034334763948,无近期,,8048.42,575.68,8049.12,-336.9,-3003.82,1015.07
40,600372.SH,67.83464566929133,EMA,compare,7513.79,,29,5,3,60,1774.7616666666665,75.8793103448276,1.7340485005821473,0.5172413793103448,75.86206896551724,-7.7090000000000005,24.327877511921134,56.65236051502146,无近期,,-265.38,4540.91,646.4,-1255.41,6982.05,0
41,600660.SH,67.57874015748033,SMA,compare,-10830.740000000002,,20,5,3,60,3310.8416666666667,65,2.368718740547665,0.4,65,-8.4121,31.582241323302217,55.36480686695279,无近期,,4680.8,-3718.57,90.14,21162.21,-2349.53,0
42,600061.SH,66.25984251968504,EMA,compare,7289.97,,26,5,3,60,2216.6666666666665,69.21923076923078,1.7752990876536825,0.4999999999999999,73.07692307692307,-14.9421,20.073746881711774,66.09442060085837,无近期,,-7105.14,-753.55,10999.77,0,8703.04,1455.88
43,601857.SH,66.18110236220473,EMA,compare,3781.8799999999974,,29,6,4,66.66666666666666,4017.3466666666664,62.06896551724138,2.151926258612895,0.3103448275862069,65.51724137931035,-16.0453,33.484042851616216,41.63090128755365,无近期,,4473.51,-1081.94,13481.29,6333.99,-1999.77,2897
44,601800.SH,62.20472440944882,EMA,compare,6097.19,,14,4,3,75,1298.1983333333333,71.42142857142856,1.5612936606133363,0.35714285714285715,64.28571428571429,-10.4618,18.65256955413647,60.08583690987125,无近期,,0,-4324.86,6786.19,4358.29,969.57,0
45,002236.SZ,61.45669291338582,EMA,compare,3681.239999999998,,23,5,2,40,2826.4233333333327,73.91304347826087,2.0036171202467594,0.39130434782608703,69.56521739130434,-10.4236,25.846288909318005,48.06866952789699,无近期,,-1241.38,0,-2965.04,4770.54,18718.94,-2324.52
46,002736.SZ,59.881889763779526,SMA,compare,-25872.989999999998,,24,5,3,60,3241.403333333333,62.51250000000001,1.854341218657516,0.33333333333333326,66.66666666666666,-12.1327,20.05951959749738,50.64377682403433,无近期,,-6066.34,-259.4,5649.89,15478.4,4645.87,0
47,601668.SH,59.37007874015748,SMA,compare,-3877.6699999999983,,22,5,3,60,2189.558333333333,68.18181818181819,1.9912833974829605,0.27272727272727276,59.09090909090909,-8.7969,17.499199625601605,75.53648068669528,无近期,,-2588.8,14241.76,4390.8,1492.02,-4398.43,0
48,600029.SH,58.97637795275591,SMA,compare,-6536,,26,5,2,40,1994.1666666666667,69.21923076923078,1.6470715483208047,0.6923076923076923,84.61538461538461,-13.898,17.349767972132188,44.63519313304721,无近期,,15254,-4038,-2130,4339,-1460,0
49,002493.SZ,57.44094488188976,EMA,compare,3223.3499999999995,,25,6,3,50,1129.2916666666667,76.004,1.3375993191960895,0.44,72,-15.5509,46.69064657086093,21.888412017167383,无近期,,6821.76,-6088.38,-2410.21,-3954.43,9038.03,3368.98
50,603659.SH,56.5748031496063,SMA,compare,-4418.61,,9,4,2,50,407.34666666666664,77.77777777777777,1.294634310995383,0.5555555555555556,77.77777777777779,-9.056000000000001,42.067499604641924,33.047210300429185,无近期,,2142.8,-3767.3,-4528,0,8596.58,0
51,601688.SH,56.2992125984252,SMA,compare,-2858.8499999999985,,12,4,2,50,3310.818333333333,58.324999999999996,3.3151901168380875,0.33333333333333326,66.66666666666666,-11.1651,23.76020313586988,35.622317596566525,无近期,,-4774.28,-1054.63,21092.03,0,4601.79,0
52,601989.SH,55.86614173228346,SMA,compare,-951.760000000002,,12,5,3,60,3040.538333333334,58.333333333333336,4.786387193318541,0.16666666666666669,58.333333333333336,-5.710500000000001,0,100,无近期,,812.92,-1055.4,14394.03,-1425.32,5517,0
53,000651.SZ,55.21653543307087,EMA,compare,2540.720000000001,,28,6,3,50,2261.308333333334,64.27857142857144,1.5764271487953014,0.4285714285714286,67.85714285714286,-11.5539,18.11601005385909,75.53648068669528,无近期,,-3412.66,-2229.85,1724.78,19775.88,-3043.62,753.32
