i,buy_signal,buy_label,buy_signal_day,buy_open_day,buy_price,shares,cost,sell_signal,sell_label,sell_signal_day,sell_exec_day,sell_price,hold_calendar_days,ret_pct,pnl,price_source
1,-,-,20260511,20260511,169.227,80,13538.16,take_profit,take_profit,20260511,20260511,170.952,0,1.019340885319715,138.0,terminal
2,-,-,20260515,20260515,164.171,90,14775.39,eod_flatten,eod_flatten,20260515,20260515,163.627,0,-0.33136181176942503,-48.96,terminal
3,-,-,20260527,20260527,171.825,80,13746.0,eod_flatten,eod_flatten,20260527,20260527,171.841,0,0.009311799796315759,1.28,terminal
4,-,-,20260604,20260604,171.8,80,13744.0,eod_flatten,eod_flatten,20260604,20260604,171.755,0,-0.026193247962756645,-3.6,terminal
5,-,-,20260605,20260605,169.546,80,13563.68,eod_flatten,eod_flatten,20260605,20260605,169.776,0,0.13565640003304014,18.4,terminal
6,-,-,20260615,20260615,190.867,70,13360.69,take_profit,take_profit,20260615,20260615,193.333,0,1.2919991407629439,172.62,terminal
7,-,-,20260618,20260618,187.077,80,14966.16,take_profit,take_profit,20260618,20260618,189.0,0,1.0279189852306814,153.84,terminal
8,-,-,20260622,20260622,182.829,80,14626.32,vwap_reversion,vwap_reversion,20260622,20260622,183.85,0,0.5584453232255203,81.68,terminal
9,-,-,20260623,20260623,176.88,80,14150.4,eod_flatten,eod_flatten,20260623,20260623,176.886,0,0.003392130257802028,0.48,terminal
10,-,-,20260625,20260625,166.941,80,13355.28,take_profit,take_profit,20260625,20260625,168.663,0,1.0315021474652772,137.76,terminal
11,-,-,20260625,20260625,166.226,90,14960.34,eod_flatten,eod_flatten,20260625,20260625,166.963,0,0.4433722762985302,66.33,terminal
12,-,-,20260626,20260626,160.267,90,14424.03,eod_flatten,eod_flatten,20260626,20260626,160.5,0,0.14538239313146442,20.97,terminal
13,-,-,20260703,20260703,175.265,80,14021.2,eod_flatten,eod_flatten,20260703,20260703,176.077,0,0.46329843380025215,64.96,terminal
14,-,-,20260709,20260709,169.999,80,13599.92,take_profit,take_profit,20260709,20260709,171.976,0,1.1629480173412807,158.16,terminal
15,-,-,20260715,20260715,177.232,80,14178.56,eod_flatten,eod_flatten,20260715,20260715,178.007,0,0.4372799494447987,62.0,terminal
16,-,-,20260722,20260722,188.071,70,13164.97,eod_flatten,eod_flatten,20260722,20260722,187.752,0,-0.1696167936577082,-22.33,terminal
17,-,-,20260730,20260730,193.421,70,13539.47,take_profit,take_profit,20260730,20260730,195.56,0,1.105877851939557,149.73,terminal
18,-,-,20260806,20260806,207.657,70,14535.99,eod_flatten,eod_flatten,20260806,20260806,205.53,0,-1.024285239601848,-148.89,terminal
19,-,-,20260811,20260811,204.3,70,14301.0,take_profit,take_profit,20260811,20260811,206.637,0,1.1439060205579976,163.59,terminal
20,-,-,20260812,20260812,200.0,70,14000.0,eod_flatten,eod_flatten,20260812,20260812,196.0,0,-2.0,-280.0,terminal
21,-,-,20260813,20260813,190.7,70,13349.0,eod_flatten,eod_flatten,20260813,20260813,190.455,0,-0.1284740429994631,-17.15,terminal
22,-,-,20260820,20260820,186.683,80,14934.64,take_profit,take_profit,20260820,20260820,188.609,0,1.0316954409346413,154.08,terminal
23,-,-,20260821,20260821,190.698,70,13348.86,take_profit,take_profit,20260821,20260821,192.607,0,1.0010592664841749,133.63,terminal
