代码,名称,品种类型,行业,多空,操作时间,操作类型,操作价格,当前价格,盈利,买入权重(%),当前权重(%),数量,交易费用,市值,业务类型
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2024-02-06 15:00:00,买入,0.988,0.988,0.000,0.00%,0.00%,55700,0.000,55031.600,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2024-03-13 10:30:00,卖出,1.011,1.011,1281.100,0.00%,0.00%,55700,0.000,56312.700,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2024-04-01 10:30:00,买入,1.037,1.037,0.000,0.00%,0.00%,53300,0.000,55272.100,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2024-05-06 10:30:00,卖出,1.058,1.058,1119.300,0.00%,0.00%,53300,0.000,56391.400,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2024-05-17 10:30:00,买入,1.073,1.073,0.000,0.00%,0.00%,51000,0.000,54723.000,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2024-06-04 10:30:00,卖出,1.074,1.074,51.000,0.00%,0.00%,51000,0.000,54774.000,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2024-06-07 14:00:00,买入,1.075,1.075,0.000,0.00%,0.00%,51000,0.000,54825.000,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2024-06-12 10:30:00,卖出,1.055,1.055,-1020.000,0.00%,0.00%,51000,0.000,53805.000,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2024-10-15 10:30:00,买入,1.176,1.176,0.000,0.00%,0.00%,46200,0.000,54331.200,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2024-10-18 10:30:00,卖出,1.140,1.140,-1663.200,0.00%,0.00%,46200,0.000,52668.000,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2024-10-21 14:00:00,买入,1.154,1.154,0.000,0.00%,0.00%,47300,0.000,54584.200,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2024-10-31 10:30:00,卖出,1.155,1.155,47.300,0.00%,0.00%,47300,0.000,54631.500,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2024-11-01 11:30:00,买入,1.174,1.174,0.000,0.00%,0.00%,46700,0.000,54825.800,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2024-11-15 10:30:00,卖出,1.174,1.174,0.000,0.00%,0.00%,46700,0.000,54825.800,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2024-11-18 14:00:00,买入,1.188,1.188,0.000,0.00%,0.00%,45800,0.000,54410.400,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2024-11-25 10:30:00,卖出,1.156,1.156,-1465.600,0.00%,0.00%,45800,0.000,52944.800,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2024-12-12 15:00:00,买入,1.218,1.218,0.000,0.00%,0.00%,45100,0.000,54931.800,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2025-01-03 10:30:00,卖出,1.188,1.188,-1353.000,0.00%,0.00%,45100,0.000,53578.800,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2025-03-25 11:30:00,买入,1.201,1.201,0.000,0.00%,0.00%,45700,0.000,54885.700,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2025-03-28 14:00:00,卖出,1.188,1.188,-594.100,0.00%,0.00%,45700,0.000,54291.600,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2025-05-21 10:30:00,买入,1.208,1.208,0.000,0.00%,0.00%,45700,0.000,55205.600,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2025-05-26 14:00:00,卖出,1.191,1.191,-776.900,0.00%,0.00%,45700,0.000,54428.700,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2025-05-29 10:30:00,买入,1.193,1.193,0.000,0.00%,0.00%,46000,0.000,54878.000,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2025-06-06 10:30:00,卖出,1.197,1.197,184.000,0.00%,0.00%,46000,0.000,55062.000,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2025-06-09 10:30:00,买入,1.196,1.196,0.000,0.00%,0.00%,45800,0.000,54776.800,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2025-06-10 10:30:00,卖出,1.202,1.202,274.800,0.00%,0.00%,45800,0.000,55051.600,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2025-06-17 11:30:00,买入,1.197,1.197,0.000,0.00%,0.00%,45600,0.000,54583.200,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2025-08-01 10:30:00,卖出,1.262,1.262,2964.000,0.00%,0.00%,45600,0.000,57547.200,卖出
