code,name,entry_date,exit_date,entry_price,exit_price,stop_line,hold_days,ret_pct,exit_reason
600000,浦发银行,2025-03-11,2025-03-17,9.379,9.824,8.97,4,4.74,R3
600000,浦发银行,2025-04-08,2025-04-28,9.453,9.954,9.169,14,5.29,R4
600000,浦发银行,2025-09-18,2025-09-29,12.175,11.516,11.64,7,-5.41,R1
600004,白云机场,2023-01-20,2023-01-31,14.076,13.628,13.66,2,-3.19,R1
600004,白云机场,2023-04-26,2023-05-09,14.984,14.33,14.389,6,-4.36,R1
600006,东风股份,2024-06-04,2024-06-06,6.661,6.412,6.473,2,-3.74,R1
600008,首创环保,2025-01-03,2025-01-10,2.853,2.771,2.778,5,-2.88,R1
600008,首创环保,2025-11-03,2025-11-21,3.077,2.923,2.948,14,-5.0,R1
600008,首创环保,2026-03-24,2026-03-31,3.07,3.05,2.963,5,-0.63,R1
600008,首创环保,2026-04-08,2026-04-14,3.089,2.963,2.963,4,-4.1,R1
600009,上海机场,2023-02-24,2023-03-10,56.711,55.0,55.035,10,-3.02,R1
600009,上海机场,2026-01-20,2026-01-23,32.006,30.997,31.109,3,-3.15,R1
600011,华能国际,2023-06-15,2023-07-05,7.765,8.444,7.423,12,8.75,R3
600011,华能国际,2023-07-21,2023-07-25,8.149,7.711,7.772,2,-5.37,R1
600011,华能国际,2024-05-21,2024-06-11,7.943,8.238,7.612,14,3.71,R4
600011,华能国际,2025-09-23,2025-10-21,6.859,7.096,6.649,14,3.45,R4
600015,华夏银行,2025-02-26,2025-03-14,6.86,7.221,6.669,12,5.26,R3
600015,华夏银行,2025-08-18,2025-08-27,7.679,7.59,7.334,7,-1.15,R1
600016,民生银行,2023-09-07,2023-09-27,3.248,3.282,3.124,14,1.06,R4
600016,民生银行,2024-03-21,2024-04-11,3.402,3.385,3.238,13,-0.51,R1
600016,民生银行,2024-04-15,2024-04-23,3.42,3.402,3.261,6,-0.5,R1
600016,民生银行,2024-05-10,2024-05-22,3.359,3.463,3.289,8,3.07,R3
600016,民生银行,2025-03-25,2025-03-31,3.844,3.675,3.676,4,-4.41,R1
600016,民生银行,2025-04-02,2025-04-07,3.778,3.58,3.694,2,-5.24,R1
600016,民生银行,2025-09-02,2025-09-12,4.345,4.173,4.194,8,-3.95,R1
600019,宝钢股份,2023-05-18,2023-05-24,5.371,5.164,5.251,4,-3.85,R1
600019,宝钢股份,2023-08-22,2023-08-29,5.456,5.421,5.318,5,-0.64,R1
600019,宝钢股份,2023-12-07,2023-12-27,5.485,5.405,5.272,14,-1.47,R4
600019,宝钢股份,2024-06-18,2024-07-02,6.035,6.431,5.75,10,6.55,R3
600019,宝钢股份,2024-11-27,2024-12-17,6.186,6.429,5.918,14,3.94,R4
600019,宝钢股份,2025-01-09,2025-02-06,6.186,6.279,5.968,14,1.52,R4
600019,宝钢股份,2025-08-18,2025-09-05,6.736,6.632,6.485,14,-1.55,R4
600019,宝钢股份,2025-09-22,2025-09-30,6.622,6.846,6.448,6,3.37,R3
600019,宝钢股份,2025-11-25,2025-12-15,6.933,6.826,6.661,14,-1.54,R4
600019,宝钢股份,2026-02-04,2026-02-12,6.991,6.894,6.809,6,-1.39,R1
600021,上海电力,2023-02-27,2023-03-06,9.308,10.03,9.092,5,7.75,R3
600021,上海电力,2023-03-23,2023-03-29,9.41,8.993,9.066,4,-4.42,R1
600021,上海电力,2023-07-14,2023-07-19,9.807,9.528,9.549,3,-2.84,R1
600021,上海电力,2024-11-27,2024-12-17,8.987,9.12,8.68,14,1.48,R4
600021,上海电力,2024-12-24,2025-01-02,8.864,8.476,8.621,6,-4.38,R1
600023,浙能电力,2026-06-23,2026-06-25,5.53,5.3,5.389,2,-4.16,R1
600025,华能水电,2026-04-08,2026-04-24,9.455,9.446,9.194,12,-0.1,R1
600026,中远海能,2025-12-04,2025-12-19,11.373,11.315,10.826,11,-0.51,R1
600026,中远海能,2026-06-01,2026-06-03,18.322,17.484,17.69,2,-4.57,R1
600027,华电国际,2023-07-17,2023-07-25,5.479,5.158,5.247,6,-5.85,R1
600028,中国石化,2024-06-12,2024-07-02,5.532,5.736,5.292,14,3.7,R3
600028,中国石化,2024-09-10,2024-09-30,5.963,6.54,5.687,12,9.68,R3
600029,南方航空,2023-02-03,2023-02-23,7.15,7.65,6.829,14,6.99,R4
600029,南方航空,2023-03-27,2023-04-03,7.52,8.15,7.213,5,8.38,R3
600029,南方航空,2023-04-24,2023-05-04,7.59,7.22,7.423,5,-4.87,R1
600030,中信证券,2023-03-15,2023-04-03,18.34,19.209,17.621,13,4.74,R3
600030,中信证券,2023-10-10,2023-10-23,20.018,19.785,19.458,9,-1.17,R1
600030,中信证券,2023-10-24,2023-10-30,20.196,20.177,19.518,4,-0.09,R1
600030,中信证券,2024-03-18,2024-03-22,19.86,19.15,19.361,4,-3.57,R1
