code,name,entry_date,exit_date,entry_price,exit_price,stop_line,hold_days,ret_pct,exit_reason,max_dd_pct,took_partial
688006,杭可科技,2025-12-08,2025-12-15,29.363,27.73,28.128,5,-5.56,R1,5.56,False
688039,当虹科技,2025-04-21,2025-05-09,31.78,32.56,28.84,11,2.45,R3,9.25,False
688097,博众精工,2025-06-09,2025-07-04,25.607,27.039,24.544,19,5.59,R4,5.5,False
688186,广大特材,2025-12-12,2025-12-29,23.35,22.82,21.74,11,-2.27,R3,7.44,False
688255,凯尔达,2025-04-23,2025-05-15,33.121,35.509,29.777,13,7.21,R3,9.98,False
688316,青云科技,2023-08-14,2023-09-06,45.35,58.0,42.12,17,35.5,R3,16.61,True
688317,之江生物,2026-04-01,2026-04-16,19.83,20.51,19.06,10,3.43,R3,11.59,False
688365,光云科技,2023-08-04,2023-08-10,13.58,13.05,13.1,4,-3.9,R1,4.74,False
688418,震有科技,2026-04-08,2026-04-23,42.08,46.69,40.26,11,10.96,R3,9.86,False
688582,芯动联科,2026-04-03,2026-04-21,60.143,61.928,57.112,11,2.97,R3,4.24,False
688625,呈和科技,2026-04-07,2026-05-07,40.809,60.37,38.592,19,47.93,R4,5.05,False
300004,南风股份,2025-12-05,2025-12-30,10.6,11.7,10.06,17,10.38,R3,11.55,False
300009,安科生物,2024-07-31,2024-08-14,8.076,8.066,7.671,10,-0.12,R3,3.49,False
300040,九洲集团,2026-07-17,2026-07-20,5.78,6.83,5.33,1,18.17,R4,0.73,False
300067,安诺其,2024-07-31,2024-08-02,3.853,3.643,3.683,2,-5.44,R1,8.06,False
300071,福石控股,2026-04-08,2026-04-22,5.19,4.86,4.83,10,-6.36,R3,7.25,False
300078,思创智联,2025-04-25,2025-04-28,3.25,3.04,3.1,1,-6.46,R1,6.46,False
300082,奥克股份,2023-06-27,2023-07-14,7.55,7.69,7.21,13,1.85,R3,2.66,False
300107,建新股份,2026-04-23,2026-05-12,7.49,7.16,6.95,10,-4.41,R3,7.61,False
300118,东方日升,2026-04-29,2026-05-18,17.13,18.07,15.0,10,5.49,R3,10.99,False
300120,经纬辉开,2024-09-12,2024-09-18,5.54,5.11,5.15,2,-7.76,R1,9.56,False
300133,华策影视,2026-04-08,2026-05-08,7.571,9.119,7.122,19,20.45,R4,7.87,False
300159,新研股份,2024-07-26,2024-08-09,1.835,1.996,1.555,10,8.8,R3,20.07,False
300164,通源石油,2026-05-18,2026-05-21,13.49,11.7,12.64,3,-13.27,R1,17.2,False
300168,万达信息,2023-07-31,2023-08-11,10.84,10.11,10.12,9,-6.73,R1,8.09,False
300182,捷成股份,2026-04-08,2026-04-22,5.96,5.8,5.62,10,-2.68,R3,5.98,False
300192,科德教育,2025-11-10,2025-12-03,13.277,14.725,12.453,17,16.42,R3,16.45,True
300192,科德教育,2026-04-07,2026-04-23,13.625,13.997,12.99,12,2.73,R3,5.08,False
300229,拓尔思,2026-04-08,2026-04-23,18.89,18.17,17.76,11,-3.81,R3,5.76,False
300238,冠昊生物,2023-08-09,2023-08-17,14.75,13.68,14.0,6,-7.25,R1,11.8,False
300248,新开普,2025-06-12,2025-07-02,13.654,13.932,12.975,14,2.03,R3,13.87,False
300261,雅本化学,2024-07-31,2024-08-19,5.23,5.577,5.002,13,6.64,R3,14.33,False
300276,三丰智能,2025-04-23,2025-04-28,12.26,11.47,11.75,3,-6.44,R1,7.95,False
300291,百纳千成,2026-04-08,2026-04-22,6.96,6.63,6.58,10,-4.74,R3,5.32,False
300302,同有科技,2025-05-19,2025-06-03,14.62,14.18,13.98,10,-3.01,R3,8.58,False
300313,天山生物,2024-01-09,2024-01-26,10.62,10.4,9.3,13,-2.07,R3,13.04,False
300315,掌趣科技,2024-05-14,2024-05-20,5.04,4.82,4.84,4,-4.37,R1,6.59,False
300333,兆日科技,2024-08-15,2024-09-09,4.67,5.23,4.4,17,11.99,R3,16.32,False
300339,润和软件,2025-01-14,2025-02-18,51.495,55.841,45.862,19,12.03,R3,11.66,True
300340,科恒股份,2023-05-15,2023-05-29,12.8,12.76,12.04,10,-0.31,R3,9.82,False
300411,金盾股份,2024-06-28,2024-07-04,13.67,12.1,12.18,4,-11.49,R1,11.49,False
300411,金盾股份,2024-09-24,2024-10-11,10.19,11.47,9.71,8,31.8,R3,25.52,True
300411,金盾股份,2025-04-23,2025-05-15,11.93,12.12,11.29,13,1.59,R3,7.74,False
300429,强力新材,2024-08-30,2024-09-12,10.12,9.42,9.57,9,-6.92,R1,9.34,False
300429,强力新材,2025-02-06,2025-02-28,11.97,12.37,10.98,16,3.34,R3,10.36,False
300437,清水源,2026-02-24,2026-03-16,15.82,18.93,15.0,14,19.66,R3,17.7,False
300473,德尔股份,2023-05-10,2023-05-29,16.04,16.43,15.19,13,2.43,R3,2.84,False
300473,德尔股份,2023-08-29,2023-09-13,17.16,17.73,16.08,11,3.32,R3,3.64,False
300482,万孚生物,2026-04-23,2026-05-14,18.222,18.518,17.58,12,1.63,R3,8.13,False
300484,蓝海华腾,2024-07-26,2024-08-09,12.726,12.775,11.892,10,0.39,R3,18.48,False
300485,赛升药业,2025-10-15,2025-10-29,12.237,11.948,11.221,10,-2.36,R3,8.48,False
300491,通合科技,2025-04-29,2025-05-16,16.301,18.337,15.099,10,12.49,R3,10.54,False
300505,川金诺,2024-07-01,2024-07-04,12.725,11.712,11.809,3,-7.96,R1,7.96,False
300554,三超新材,2024-07-19,2024-08-02,25.06,23.65,22.3,10,-5.63,R3,9.59,False
300591,万里马,2025-09-19,2025-10-13,10.95,10.52,9.72,10,-3.93,R3,18.53,False
300600,国瑞科技,2025-10-28,2025-11-11,16.6,16.03,15.16,10,-3.43,R3,16.51,False
300609,汇纳科技,2025-10-24,2025-11-07,39.9,40.74,37.52,10,2.11,R3,13.47,False
300613,富瀚微,2024-09-24,2024-10-16,32.451,43.965,31.216,11,35.48,R3,24.37,False
300620,光库科技,2023-09-06,2023-09-07,44.413,41.907,42.086,1,-5.64,R1,5.64,False
300624,万兴科技,2026-04-08,2026-04-23,71.95,70.44,67.5,11,-2.1,R3,4.55,False
300641,正丹股份,2026-06-10,2026-06-25,15.646,16.41,13.853,10,4.88,R3,15.65,False
300642,透景生命,2026-01-05,2026-01-19,19.558,19.876,18.386,10,1.63,R3,12.51,False
300659,中孚信息,2023-05-31,2023-06-14,24.81,23.91,22.57,10,-3.63,R3,6.27,False
300678,中科信息,2023-08-22,2023-08-24,38.475,35.682,36.089,2,-7.26,R1,7.26,False
300682,朗新科技,2025-11-18,2025-11-20,17.46,16.358,16.574,2,-6.31,R1,8.22,False
300687,赛意信息,2026-04-08,2026-05-08,19.42,29.4,18.57,19,51.39,R4,5.24,False
300690,双一科技,2024-09-24,2024-10-28,16.737,27.301,16.006,19,64.02,R4,19.26,True
300703,创源股份,2025-03-14,2025-03-25,15.692,14.36,14.37,7,-8.49,R1,11.0,False
300713,英可瑞,2024-09-10,2024-09-18,14.24,13.03,13.21,4,-8.5,R1,16.85,False
300718,长盛轴承,2025-04-23,2025-05-15,82.094,76.145,73.369,13,-7.25,R3,9.22,False
300722,新余国科,2026-04-07,2026-04-23,29.683,30.338,28.78,12,2.21,R3,4.23,False
300727,润禾材料,2025-12-17,2026-01-13,33.914,35.56,31.574,17,4.85,R3,4.83,False
300785,值得买,2026-04-08,2026-04-24,52.273,51.536,47.802,12,-1.41,R3,8.41,False
300786,国林科技,2024-08-30,2024-09-13,10.79,9.78,9.15,10,-9.36,R3,20.49,False
300788,中信出版,2023-08-22,2023-09-05,28.867,27.069,27.292,10,-6.23,R1,12.56,False
300805,电声股份,2025-03-14,2025-03-21,11.65,10.686,10.815,5,-8.28,R1,11.89,False
300807,天迈科技,2024-09-05,2024-09-09,27.65,25.38,26.5,2,-8.21,R1,13.35,False
300817,双飞集团,2024-08-20,2024-08-27,10.009,9.293,9.313,5,-7.16,R1,18.57,False
300846,首都在线,2023-08-14,2023-08-28,14.49,13.89,12.92,10,-4.14,R3,10.79,False
300859,西域旅游,2025-11-04,2025-11-07,40.992,38.366,38.614,3,-6.41,R1,9.72,False
300887,谱尼测试,2024-07-08,2024-07-22,7.67,7.08,6.876,10,-7.7,R3,14.85,False
300918,南山智尚,2024-08-22,2024-09-05,7.965,7.423,7.226,10,-6.81,R3,7.3,False
300927,江天化学,2024-07-30,2024-08-13,15.029,14.959,12.444,10,-0.46,R3,15.35,False
300947,德必集团,2024-08-30,2024-09-12,13.96,12.9,13.0,9,-7.59,R1,9.73,False
300960,通业科技,2025-11-06,2025-11-19,28.6,25.66,26.01,9,-10.28,R1,10.59,False
300963,中洲特材,2025-08-14,2025-08-28,20.96,19.36,19.61,10,-7.63,R1,9.91,False
300967,晓鸣股份,2024-07-08,2024-07-24,9.453,9.804,8.898,12,3.71,R3,17.47,False
