code,name,entry_date,exit_date,entry_price,exit_price,stop_line,hold_days,ret_pct,exit_reason
601919,中远海控,2023-10-12,2023-11-08,7.633,7.641,7.248,19,0.1,R4
601919,中远海控,2023-11-10,2023-12-07,7.664,7.87,7.447,19,2.68,R4
601919,中远海控,2023-12-11,2023-12-18,7.894,8.399,7.509,5,6.41,R3
601919,中远海控,2025-03-31,2025-04-07,12.7,11.12,12.302,4,-12.44,R1
601919,中远海控,2025-05-06,2025-05-07,12.708,12.918,12.209,1,1.65,R3
601919,中远海控,2025-09-11,2025-09-22,14.057,13.451,13.485,7,-4.31,R1
601919,中远海控,2025-09-30,2025-10-27,13.367,14.397,12.906,13,7.7,R3
601919,中远海控,2025-12-01,2025-12-18,14.639,14.881,13.926,13,1.65,R3
601919,中远海控,2025-12-30,2026-01-16,14.784,13.98,14.012,11,-5.44,R1
601919,中远海控,2026-01-22,2026-02-26,14.087,14.59,13.399,19,3.57,R4
601919,中远海控,2026-04-02,2026-04-20,14.716,14.116,14.121,11,-4.08,R1
601872,招商轮船,2023-01-11,2023-01-18,5.238,5.556,5.101,5,6.07,R3
601872,招商轮船,2023-02-20,2023-03-01,6.262,6.73,6.007,7,7.48,R3
601872,招商轮船,2023-03-30,2023-04-03,6.245,5.697,5.935,2,-8.77,R1
601872,招商轮船,2024-01-12,2024-01-15,5.877,6.077,5.574,1,3.41,R3
601872,招商轮船,2024-07-18,2024-07-25,7.344,7.23,7.145,5,-1.55,R1
601872,招商轮船,2024-08-26,2024-08-29,7.746,7.277,7.424,3,-6.06,R1
601857,中国石油,2023-02-09,2023-02-20,4.287,4.345,4.134,7,1.35,R3
601857,中国石油,2023-10-24,2023-10-25,6.794,6.418,6.446,1,-5.54,R1
601857,中国石油,2023-12-19,2023-12-26,5.927,6.12,5.665,5,3.25,R3
601857,中国石油,2024-08-07,2024-08-27,7.697,8.351,7.319,14,8.5,R3
601857,中国石油,2024-10-18,2024-10-30,7.867,7.471,7.489,8,-5.04,R1
601857,中国石油,2025-01-06,2025-01-21,8.208,7.784,7.788,11,-5.16,R1
601857,中国石油,2025-09-25,2025-10-20,7.915,8.382,7.595,11,5.9,R3
601088,中国神华,2023-01-03,2023-02-06,22.011,22.097,21.355,19,0.39,R4
601088,中国神华,2023-03-07,2023-03-10,22.687,22.097,22.102,3,-2.6,R1
601088,中国神华,2023-03-13,2023-03-16,22.804,22.034,22.162,3,-3.38,R1
601088,中国神华,2023-06-27,2023-06-30,23.559,24.164,22.464,3,2.57,R3
601088,中国神华,2023-08-22,2023-09-04,23.557,25.32,22.693,9,7.49,R3
601088,中国神华,2024-08-23,2024-08-27,36.298,37.577,34.67,2,3.53,R3
601088,中国神华,2024-11-01,2024-11-11,37.01,35.487,35.694,6,-4.11,R1
601088,中国神华,2025-01-16,2025-01-21,35.775,34.432,34.541,3,-3.75,R1
601088,中国神华,2025-05-21,2025-06-18,36.136,35.343,34.35,19,-2.19,R4
601088,中国神华,2025-09-02,2025-09-29,36.391,36.572,34.843,19,0.5,R4
601088,中国神华,2025-12-17,2026-01-09,39.02,41.41,37.02,15,6.13,R3
601939,建设银行,2023-01-13,2023-02-16,4.602,4.545,4.381,19,-1.24,R4
601939,建设银行,2023-06-29,2023-07-26,5.059,5.162,4.806,19,2.04,R4
601939,建设银行,2023-09-13,2023-09-14,5.284,5.353,5.051,1,1.32,R3
601939,建设银行,2026-04-13,2026-04-20,9.134,9.536,8.71,5,4.4,R3
601988,中国银行,2023-09-13,2023-10-12,3.227,3.401,3.132,15,5.42,R3
601988,中国银行,2023-10-27,2023-11-23,3.401,3.463,3.231,19,1.8,R4
601988,中国银行,2024-06-04,2024-06-27,3.882,4.031,3.691,16,3.83,R3
601988,中国银行,2025-06-16,2025-06-23,5.168,5.437,5.022,5,5.2,R3
601988,中国银行,2025-07-30,2025-08-07,5.313,5.495,5.139,6,3.44,R3
601988,中国银行,2025-08-19,2025-09-15,5.341,5.245,5.17,19,-1.8,R4
601988,中国银行,2025-09-23,2025-10-22,5.092,5.245,4.94,15,3.02,R3
601988,中国银行,2025-11-03,2025-11-04,5.457,5.505,5.187,1,0.88,R3
601988,中国银行,2025-11-11,2025-11-12,5.457,5.534,5.188,1,1.41,R3
601988,中国银行,2025-12-17,2026-01-15,5.495,5.318,5.271,19,-3.21,R4
601988,中国银行,2026-01-20,2026-01-23,5.328,5.162,5.187,3,-3.12,R1
601988,中国银行,2026-03-25,2026-03-30,5.436,5.553,5.247,3,2.16,R3
601988,中国银行,2026-05-12,2026-06-08,5.622,6.014,5.354,19,6.97,R3
601988,中国银行,2026-07-06,2026-07-13,5.524,5.92,5.335,5,7.17,R3
601328,交通银行,2023-09-11,2023-09-19,4.779,4.926,4.535,6,3.07,R3
601328,交通银行,2023-12-04,2023-12-29,5.004,4.952,4.748,19,-1.03,R4
601328,交通银行,2024-01-02,2024-01-04,4.986,5.09,4.794,2,2.08,R3
601328,交通银行,2024-01-15,2024-01-26,5.03,5.15,4.817,9,2.4,R3
601328,交通银行,2024-11-01,2024-11-28,6.541,6.732,6.314,19,2.91,R4
601328,交通银行,2024-12-04,2024-12-24,6.668,7.003,6.402,14,5.03,R3
601328,交通银行,2025-01-08,2025-02-12,6.813,6.742,6.489,19,-1.05,R4
601328,交通银行,2025-02-27,2025-03-26,6.742,6.909,6.458,19,2.48,R4
601328,交通银行,2025-04-11,2025-04-16,6.844,7.215,6.542,3,5.43,R3
601328,交通银行,2025-07-31,2025-08-27,7.293,7.093,6.994,19,-2.75,R4
601328,交通银行,2025-11-10,2025-11-12,7.026,7.103,6.799,2,1.09,R3
601328,交通银行,2025-12-18,2026-01-14,7.112,6.861,6.863,17,-3.53,R1
600282,南钢股份,2023-12-27,2024-01-04,3.22,3.35,3.103,5,4.04,R3
600282,南钢股份,2024-10-16,2024-10-21,4.351,4.174,4.211,3,-4.08,R1
600282,南钢股份,2024-11-18,2024-11-22,3.996,3.828,3.843,4,-4.21,R1
600282,南钢股份,2025-01-24,2025-02-14,4.127,4.099,3.973,9,-0.68,R1
600282,南钢股份,2025-08-19,2025-08-21,4.251,4.565,4.087,2,7.38,R3
601398,工商银行,2023-08-22,2023-09-18,4.044,4.062,3.832,19,0.43,R4
601398,工商银行,2023-10-10,2023-10-12,4.097,4.237,3.929,2,3.42,R3
601398,工商银行,2023-11-01,2023-11-28,4.175,4.193,3.971,19,0.42,R4
601398,工商银行,2023-11-30,2023-12-27,4.21,4.228,3.988,19,0.42,R4
601398,工商银行,2024-01-03,2024-01-04,4.237,4.28,4.021,1,1.03,R3
601398,工商银行,2024-01-15,2024-01-24,4.254,4.35,4.038,7,2.26,R3
601398,工商银行,2024-09-13,2024-09-24,5.123,5.528,4.946,5,7.91,R3
601398,工商银行,2025-09-23,2025-10-22,7.105,7.45,6.822,15,4.86,R3
601398,工商银行,2026-01-12,2026-01-21,7.564,7.183,7.269,7,-5.04,R1
601398,工商银行,2026-01-29,2026-02-25,7.095,6.89,6.898,13,-2.89,R1
601398,工商银行,2026-03-26,2026-03-31,7.251,7.466,6.983,3,2.96,R3
601398,工商银行,2026-04-13,2026-05-06,7.203,7.193,7.019,14,-0.14,R1
601398,工商银行,2026-05-08,2026-05-28,7.29,7.04,7.07,14,-3.44,R1
601398,工商银行,2026-06-05,2026-06-09,7.34,7.54,7.11,2,2.72,R3
601398,工商银行,2026-06-23,2026-06-30,7.38,7.07,7.092,5,-4.2,R1
600028,中国石化,2023-08-17,2023-09-13,5.322,5.47,5.075,19,2.78,R4
600028,中国石化,2023-09-19,2023-10-11,5.47,5.158,5.257,10,-5.69,R1
600028,中国石化,2023-11-01,2023-11-28,4.865,4.856,4.615,19,-0.18,R4
600028,中国石化,2023-11-30,2023-12-14,4.865,4.705,4.719,10,-3.29,R1
600028,中国石化,2024-11-20,2024-12-17,5.957,6.051,5.794,19,1.58,R4
600028,中国石化,2024-12-23,2024-12-25,6.145,6.352,5.878,2,3.36,R3
600028,中国石化,2025-01-08,2025-01-10,6.183,5.91,5.923,2,-4.41,R1
600028,中国石化,2025-01-16,2025-01-22,5.901,5.638,5.649,4,-4.46,R1
600028,中国石化,2026-03-23,2026-04-10,5.906,5.681,5.696,13,-3.81,R1
601898,中煤能源,2023-01-03,2023-01-04,7.685,7.38,7.417,1,-3.96,R1
601898,中煤能源,2023-01-11,2023-01-17,7.667,7.45,7.46,4,-2.83,R1
601898,中煤能源,2023-05-15,2023-05-25,8.076,7.772,7.834,8,-3.77,R1
601898,中煤能源,2024-07-16,2024-07-23,11.121,10.629,10.812,5,-4.43,R1
601898,中煤能源,2024-08-07,2024-08-12,11.212,11.768,10.868,3,4.96,R3
601898,中煤能源,2024-11-15,2024-11-22,12.335,12.315,11.733,5,-0.16,R1
601898,中煤能源,2024-12-03,2024-12-13,12.228,12.19,11.8,8,-0.32,R1
601898,中煤能源,2024-12-30,2025-01-07,11.687,11.166,11.186,5,-4.46,R1
600795,国电电力,2024-08-28,2024-09-05,5.036,4.799,4.811,6,-4.72,R1
600795,国电电力,2024-09-19,2024-09-30,4.433,5.0,4.211,7,12.78,R3
600011,华能国际,2023-08-14,2023-08-23,8.122,7.666,7.856,7,-5.61,R1
600011,华能国际,2024-01-15,2024-01-19,7.693,7.309,7.332,4,-4.99,R1
600011,华能国际,2024-01-24,2024-02-19,7.55,8.033,7.354,12,6.39,R3
600886,国投电力,2023-01-17,2023-02-03,10.007,9.61,9.613,8,-3.97,R1
600886,国投电力,2023-09-12,2023-09-15,11.602,11.517,11.122,3,-0.73,R1
600886,国投电力,2023-11-22,2023-12-08,11.743,12.016,11.348,12,2.33,R3
600886,国投电力,2024-08-12,2024-08-26,15.876,15.76,15.127,10,-0.73,R1
600886,国投电力,2024-11-13,2024-12-04,14.916,15.692,14.186,15,5.2,R3
600886,国投电力,2024-12-25,2025-01-03,16.158,15.343,15.369,6,-5.05,R1
600886,国投电力,2025-01-08,2025-01-10,15.275,14.722,14.737,2,-3.62,R1
600886,国投电力,2026-03-24,2026-04-07,14.47,13.45,13.772,9,-7.05,R1
600968,海油发展,2023-10-16,2023-10-23,2.88,2.753,2.783,5,-4.4,R1
600968,海油发展,2024-12-03,2024-12-30,3.864,3.966,3.737,19,2.65,R4
600968,海油发展,2025-01-14,2025-01-17,3.883,4.199,3.753,3,8.15,R3
600968,海油发展,2025-01-27,2025-02-05,3.911,3.734,3.78,1,-4.52,R1
600968,海油发展,2026-04-23,2026-05-07,4.101,3.986,3.942,7,-2.81,R1
600968,海油发展,2026-05-13,2026-05-25,4.025,3.794,3.848,8,-5.73,R1
601288,农业银行,2023-01-12,2023-02-15,2.403,2.394,2.281,19,-0.34,R4
601288,农业银行,2023-02-17,2023-03-03,2.403,2.444,2.292,10,1.71,R3
601288,农业银行,2023-12-12,2024-01-04,3.171,3.303,3.008,16,4.14,R3
601288,农业银行,2024-09-12,2024-09-24,4.14,4.435,3.948,6,7.14,R3
601288,农业银行,2024-11-15,2024-12-05,4.343,4.546,4.136,14,4.68,R3
601288,农业银行,2026-03-02,2026-03-23,6.356,6.346,6.133,15,-0.15,R1
601288,农业银行,2026-03-31,2026-04-02,6.572,6.787,6.269,2,3.28,R3
601288,农业银行,2026-04-13,2026-04-16,6.513,6.866,6.322,3,5.42,R3
601288,农业银行,2026-05-08,2026-05-26,6.768,6.42,6.44,12,-5.14,R1
601998,中信银行,2023-07-24,2023-07-28,4.931,5.252,4.681,4,6.5,R3
601998,中信银行,2023-11-09,2023-12-06,4.714,4.541,4.527,19,-3.68,R4
601998,中信银行,2024-01-12,2024-01-16,4.844,4.974,4.688,2,2.68,R3
601998,中信银行,2024-01-23,2024-01-25,4.87,5.156,4.681,2,5.87,R3
601998,中信银行,2024-06-17,2024-07-02,5.598,6.049,5.353,11,8.05,R3
601998,中信银行,2024-11-14,2024-12-04,6.033,6.525,5.728,14,8.16,R3
601998,中信银行,2025-01-27,2025-02-28,6.204,6.447,5.911,18,3.92,R3
601998,中信银行,2025-09-02,2025-09-17,7.61,7.248,7.251,11,-4.76,R1
601998,中信银行,2025-09-26,2025-10-16,7.048,7.467,6.707,8,5.95,R3
601998,中信银行,2025-11-25,2025-12-08,7.714,7.45,7.493,9,-3.41,R1
601998,中信银行,2025-12-18,2026-01-16,7.323,7.421,6.984,19,1.33,R4
601818,光大银行,2023-04-04,2023-04-17,2.51,2.601,2.4,8,3.62,R3
601818,光大银行,2023-05-29,2023-06-12,2.634,2.618,2.496,10,-0.63,R1
601818,光大银行,2023-06-27,2023-07-24,2.519,2.603,2.416,19,3.36,R4
601818,光大银行,2023-08-25,2023-09-21,2.691,2.709,2.55,19,0.65,R4
601818,光大银行,2023-09-22,2023-10-27,2.718,2.639,2.574,19,-2.91,R4
601818,光大银行,2023-11-02,2023-11-29,2.621,2.524,2.507,19,-3.69,R4
601818,光大银行,2024-01-12,2024-01-16,2.612,2.656,2.534,2,1.68,R3
601818,光大银行,2024-01-19,2024-01-25,2.639,2.7,2.566,4,2.33,R3
601818,光大银行,2024-04-15,2024-05-15,2.709,2.779,2.608,19,2.6,R4
601818,光大银行,2024-06-19,2024-07-02,2.744,2.867,2.619,9,4.49,R3
601818,光大银行,2024-08-08,2024-08-19,2.91,3.021,2.755,7,3.82,R3
601818,光大银行,2024-09-05,2024-09-24,2.845,3.04,2.77,11,6.84,R3
601818,光大银行,2025-04-11,2025-04-28,3.475,3.703,3.376,11,6.58,R3
601818,光大银行,2025-08-21,2025-08-29,3.862,3.668,3.715,6,-5.03,R1
601818,光大银行,2025-09-11,2025-09-16,3.59,3.445,3.491,3,-4.05,R1
601628,中国人寿,2023-03-17,2023-04-14,32.201,31.556,30.713,19,-2.01,R4
