代码,名称,品种类型,行业,多空,操作时间,操作类型,操作价格,当前价格,盈利,买入权重(%),当前权重(%),数量,交易费用,市值,业务类型
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-01-08 14:47:00,买入,1.248,1.248,0.000,0.00%,0.00%,41000,0.000,51168.000,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-01-09 09:45:00,卖出,1.251,1.251,123.000,0.00%,0.00%,41000,0.000,51291.000,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-01-09 14:45:00,买入,1.252,1.252,0.000,0.00%,0.00%,40800,0.000,51081.600,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-01-12 09:45:00,卖出,1.252,1.252,0.000,0.00%,0.00%,40800,0.000,51081.600,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-01-12 14:45:00,买入,1.253,1.253,0.000,0.00%,0.00%,40800,0.000,51122.400,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-01-13 09:45:00,卖出,1.259,1.259,244.800,0.00%,0.00%,40800,0.000,51367.200,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-01-13 14:45:00,买入,1.259,1.259,0.000,0.00%,0.00%,40600,0.000,51115.400,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-01-14 09:45:00,卖出,1.255,1.255,-162.400,0.00%,0.00%,40600,0.000,50953.000,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-01-19 14:45:00,买入,1.237,1.237,0.000,0.00%,0.00%,41300,0.000,51088.100,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-01-20 09:45:00,卖出,1.243,1.243,247.800,0.00%,0.00%,41300,0.000,51335.900,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-01-20 14:45:00,买入,1.250,1.250,0.000,0.00%,0.00%,40900,0.000,51125.000,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-01-21 09:45:00,卖出,1.237,1.237,-531.700,0.00%,0.00%,40900,0.000,50593.300,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-01-26 14:45:00,买入,1.246,1.246,0.000,0.00%,0.00%,40900,0.000,50961.400,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-01-27 09:45:00,卖出,1.251,1.251,204.500,0.00%,0.00%,40900,0.000,51165.900,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-01-29 14:45:00,买入,1.268,1.268,0.000,0.00%,0.00%,40200,0.000,50973.600,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-01-30 09:45:00,卖出,1.276,1.276,321.600,0.00%,0.00%,40200,0.000,51295.200,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-02-04 14:45:00,买入,1.257,1.257,0.000,0.00%,0.00%,40500,0.000,50908.500,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-02-05 09:45:00,卖出,1.254,1.254,-121.500,0.00%,0.00%,40500,0.000,50787.000,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-02-05 14:45:00,买入,1.254,1.254,0.000,0.00%,0.00%,40600,0.000,50912.400,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-02-06 09:45:00,卖出,1.240,1.240,-568.400,0.00%,0.00%,40600,0.000,50344.000,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-02-09 14:45:00,买入,1.254,1.254,0.000,0.00%,0.00%,40600,0.000,50912.400,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-02-10 09:45:00,卖出,1.252,1.252,-81.200,0.00%,0.00%,40600,0.000,50831.200,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-02-10 14:45:00,买入,1.254,1.254,0.000,0.00%,0.00%,40600,0.000,50912.400,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-02-11 09:45:00,卖出,1.254,1.254,0.000,0.00%,0.00%,40600,0.000,50912.400,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-02-11 14:45:00,买入,1.263,1.263,0.000,0.00%,0.00%,40300,0.000,50898.900,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-02-12 09:45:00,卖出,1.260,1.260,-120.900,0.00%,0.00%,40300,0.000,50778.000,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-02-24 14:45:00,买入,1.267,1.267,0.000,0.00%,0.00%,40200,0.000,50933.400,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-02-25 09:45:00,卖出,1.276,1.276,361.800,0.00%,0.00%,40200,0.000,51295.200,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-02-26 14:50:00,买入,1.263,1.263,0.000,0.00%,0.00%,40000,0.000,50520.000,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-02-27 09:45:00,卖出,1.265,1.265,80.000,0.00%,0.00%,40000,0.000,50600.000,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-02-27 14:45:00,买入,1.271,1.271,0.000,0.00%,0.00%,39800,0.000,50585.800,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-03-02 09:45:00,卖出,1.284,1.284,517.400,0.00%,0.00%,39800,0.000,51103.200,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-03-02 14:45:00,买入,1.311,1.311,0.000,0.00%,0.00%,38600,0.000,50604.600,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-03-03 09:45:00,卖出,1.319,1.319,308.800,0.00%,0.00%,38600,0.000,50913.400,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-03-06 14:45:00,买入,1.314,1.314,0.000,0.00%,0.00%,38500,0.000,50589.000,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-03-09 10:22:00,卖出,1.323,1.323,346.500,0.00%,0.00%,38500,0.000,50935.500,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-03-11 14:45:00,买入,1.314,1.314,0.000,0.00%,0.00%,38500,0.000,50589.000,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-03-12 09:45:00,卖出,1.316,1.316,77.000,0.00%,0.00%,38500,0.000,50666.000,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-03-12 14:45:00,买入,1.327,1.327,0.000,0.00%,0.00%,38100,0.000,50558.700,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-03-13 09:45:00,卖出,1.324,1.324,-114.300,0.00%,0.00%,38100,0.000,50444.400,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-03-18 14:45:00,买入,1.299,1.299,0.000,0.00%,0.00%,38900,0.000,50531.100,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-03-19 09:45:00,卖出,1.300,1.300,38.900,0.00%,0.00%,38900,0.000,50570.000,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-03-24 14:45:00,买入,1.266,1.266,0.000,0.00%,0.00%,39900,0.000,50513.400,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-03-25 09:45:00,卖出,1.263,1.263,-119.700,0.00%,0.00%,39900,0.000,50393.700,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-03-25 14:45:00,买入,1.270,1.270,0.000,0.00%,0.00%,39700,0.000,50419.000,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-03-26 09:45:00,卖出,1.275,1.275,198.500,0.00%,0.00%,39700,0.000,50617.500,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-03-26 14:54:00,买入,1.273,1.273,0.000,0.00%,0.00%,39600,0.000,50410.800,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-03-27 09:45:00,卖出,1.272,1.272,-39.600,0.00%,0.00%,39600,0.000,50371.200,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-03-27 14:45:00,买入,1.273,1.273,0.000,0.00%,0.00%,39600,0.000,50410.800,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-03-30 09:45:00,卖出,1.274,1.274,39.600,0.00%,0.00%,39600,0.000,50450.400,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-03-30 14:45:00,买入,1.279,1.279,0.000,0.00%,0.00%,39500,0.000,50520.500,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-03-31 09:45:00,卖出,1.286,1.286,276.500,0.00%,0.00%,39500,0.000,50797.000,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-04-07 14:45:00,买入,1.270,1.270,0.000,0.00%,0.00%,39700,0.000,50419.000,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-04-08 09:45:00,卖出,1.270,1.270,0.000,0.00%,0.00%,39700,0.000,50419.000,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-04-08 14:45:00,买入,1.275,1.275,0.000,0.00%,0.00%,39600,0.000,50490.000,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-04-09 09:45:00,卖出,1.272,1.272,-118.800,0.00%,0.00%,39600,0.000,50371.200,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-04-13 14:52:00,买入,1.263,1.263,0.000,0.00%,0.00%,40000,0.000,50520.000,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-04-14 09:45:00,卖出,1.261,1.261,-80.000,0.00%,0.00%,40000,0.000,50440.000,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-04-14 14:45:00,买入,1.260,1.260,0.000,0.00%,0.00%,40100,0.000,50526.000,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-04-15 09:45:00,卖出,1.263,1.263,120.300,0.00%,0.00%,40100,0.000,50646.300,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-04-15 14:45:00,买入,1.266,1.266,0.000,0.00%,0.00%,39900,0.000,50513.400,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-04-16 09:45:00,卖出,1.267,1.267,39.900,0.00%,0.00%,39900,0.000,50553.300,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-04-16 14:45:00,买入,1.268,1.268,0.000,0.00%,0.00%,39800,0.000,50466.400,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-04-17 09:45:00,卖出,1.264,1.264,-159.200,0.00%,0.00%,39800,0.000,50307.200,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-04-17 14:45:00,买入,1.263,1.263,0.000,0.00%,0.00%,40000,0.000,50520.000,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-04-20 09:45:00,卖出,1.259,1.259,-160.000,0.00%,0.00%,40000,0.000,50360.000,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-04-20 14:46:00,买入,1.260,1.260,0.000,0.00%,0.00%,40000,0.000,50400.000,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-04-21 09:45:00,卖出,1.263,1.263,120.000,0.00%,0.00%,40000,0.000,50520.000,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-04-21 14:45:00,买入,1.270,1.270,0.000,0.00%,0.00%,39700,0.000,50419.000,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-04-22 09:45:00,卖出,1.267,1.267,-119.100,0.00%,0.00%,39700,0.000,50299.900,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-04-23 14:45:00,买入,1.261,1.261,0.000,0.00%,0.00%,40000,0.000,50440.000,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-04-24 09:45:00,卖出,1.255,1.255,-240.000,0.00%,0.00%,40000,0.000,50200.000,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-04-24 14:50:00,买入,1.255,1.255,0.000,0.00%,0.00%,40200,0.000,50451.000,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-04-27 09:45:00,卖出,1.255,1.255,0.000,0.00%,0.00%,40200,0.000,50451.000,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-04-28 14:45:00,买入,1.258,1.258,0.000,0.00%,0.00%,40100,0.000,50445.800,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-04-29 09:45:00,卖出,1.258,1.258,0.000,0.00%,0.00%,40100,0.000,50445.800,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-04-29 14:45:00,买入,1.264,1.264,0.000,0.00%,0.00%,39900,0.000,50433.600,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-04-30 09:45:00,卖出,1.259,1.259,-199.500,0.00%,0.00%,39900,0.000,50234.100,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-05-06 14:45:00,买入,1.258,1.258,0.000,0.00%,0.00%,40100,0.000,50445.800,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-05-07 09:45:00,卖出,1.255,1.255,-120.300,0.00%,0.00%,40100,0.000,50325.500,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-05-08 14:45:00,买入,1.250,1.250,0.000,0.00%,0.00%,40300,0.000,50375.000,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-05-11 09:45:00,卖出,1.246,1.246,-161.200,0.00%,0.00%,40300,0.000,50213.800,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-05-11 14:45:00,买入,1.252,1.252,0.000,0.00%,0.00%,40300,0.000,50455.600,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-05-12 09:45:00,卖出,1.255,1.255,120.900,0.00%,0.00%,40300,0.000,50576.500,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-05-13 14:45:00,买入,1.251,1.251,0.000,0.00%,0.00%,40300,0.000,50415.300,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-05-14 09:45:00,卖出,1.251,1.251,0.000,0.00%,0.00%,40300,0.000,50415.300,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-05-19 14:45:00,买入,1.238,1.238,0.000,0.00%,0.00%,40400,0.000,50015.200,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-05-20 09:45:00,卖出,1.234,1.234,-161.600,0.00%,0.00%,40400,0.000,49853.600,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-05-20 14:46:00,买入,1.234,1.234,0.000,0.00%,0.00%,40600,0.000,50100.400,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-05-21 09:45:00,卖出,1.235,1.235,40.600,0.00%,0.00%,40600,0.000,50141.000,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-05-26 14:45:00,买入,1.221,1.221,0.000,0.00%,0.00%,41000,0.000,50061.000,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-05-27 09:45:00,卖出,1.212,1.212,-369.000,0.00%,0.00%,41000,0.000,49692.000,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-05-29 14:45:00,买入,1.221,1.221,0.000,0.00%,0.00%,41000,0.000,50061.000,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-06-01 09:45:00,卖出,1.220,1.220,-41.000,0.00%,0.00%,41000,0.000,50020.000,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-06-01 14:45:00,买入,1.240,1.240,0.000,0.00%,0.00%,40400,0.000,50096.000,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-06-02 09:45:00,卖出,1.244,1.244,161.600,0.00%,0.00%,40400,0.000,50257.600,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-06-03 14:46:00,买入,1.231,1.231,0.000,0.00%,0.00%,40700,0.000,50101.700,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-06-04 09:45:00,卖出,1.225,1.225,-244.200,0.00%,0.00%,40700,0.000,49857.500,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-06-08 14:46:00,买入,1.211,1.211,0.000,0.00%,0.00%,41300,0.000,50014.300,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-06-09 09:45:00,卖出,1.199,1.199,-495.600,0.00%,0.00%,41300,0.000,49518.700,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-06-10 14:45:00,买入,1.196,1.196,0.000,0.00%,0.00%,41900,0.000,50112.400,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-06-11 09:45:00,卖出,1.192,1.192,-167.600,0.00%,0.00%,41900,0.000,49944.800,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-06-12 14:45:00,买入,1.205,1.205,0.000,0.00%,0.00%,41600,0.000,50128.000,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-06-15 09:45:00,卖出,1.208,1.208,124.800,0.00%,0.00%,41600,0.000,50252.800,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-06-29 14:45:00,买入,1.110,1.110,0.000,0.00%,0.00%,45100,0.000,50061.000,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-06-30 09:45:00,卖出,1.105,1.105,-225.500,0.00%,0.00%,45100,0.000,49835.500,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-07-06 14:45:00,买入,1.141,1.141,0.000,0.00%,0.00%,43900,0.000,50089.900,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-07-07 09:45:00,卖出,1.128,1.128,-570.700,0.00%,0.00%,43900,0.000,49519.200,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-07-10 14:45:00,买入,1.133,1.133,0.000,0.00%,0.00%,44200,0.000,50078.600,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-07-13 09:45:00,卖出,1.133,1.133,0.000,0.00%,0.00%,44200,0.000,50078.600,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-07-13 14:45:00,买入,1.142,1.142,0.000,0.00%,0.00%,43800,0.000,50019.600,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-07-14 09:45:00,卖出,1.147,1.147,219.000,0.00%,0.00%,43800,0.000,50238.600,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-07-15 14:45:00,买入,1.174,1.174,0.000,0.00%,0.00%,42600,0.000,50012.400,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-07-16 09:45:00,卖出,1.166,1.166,-340.800,0.00%,0.00%,42600,0.000,49671.600,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-07-20 14:45:00,买入,1.197,1.197,0.000,0.00%,0.00%,41700,0.000,49914.900,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-07-21 09:45:00,卖出,1.194,1.194,-125.100,0.00%,0.00%,41700,0.000,49789.800,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-07-22 14:45:00,买入,1.205,1.205,0.000,0.00%,0.00%,41400,0.000,49887.000,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-07-23 09:45:00,卖出,1.200,1.200,-207.000,0.00%,0.00%,41400,0.000,49680.000,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-07-23 14:45:00,买入,1.215,1.215,0.000,0.00%,0.00%,41100,0.000,49936.500,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-07-24 09:45:00,卖出,1.210,1.210,-205.500,0.00%,0.00%,41100,0.000,49731.000,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-07-27 14:45:00,买入,1.206,1.206,0.000,0.00%,0.00%,41400,0.000,49928.400,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-07-28 09:45:00,卖出,1.204,1.204,-82.800,0.00%,0.00%,41400,0.000,49845.600,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-07-28 14:45:00,买入,1.213,1.213,0.000,0.00%,0.00%,41200,0.000,49975.600,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-07-29 09:45:00,卖出,1.222,1.222,370.800,0.00%,0.00%,41200,0.000,50346.400,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-07-29 14:45:00,买入,1.230,1.230,0.000,0.00%,0.00%,40600,0.000,49938.000,买入
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-07-30 09:45:00,卖出,1.241,1.241,446.600,0.00%,0.00%,40600,0.000,50384.600,卖出
561580,央企红利ETF华泰柏瑞,ETF,其它,-,2026-07-30 14:45:00,买入,1.250,1.250,0.000,0.00%,0.00%,40000,0.000,50000.000,买入
